Category: All categories

Week,Fur: (Portugal)
2012-01-01,55
2012-01-08,81
2012-01-15,23
2012-01-22,95
2012-01-29,67
2012-02-05,46
2012-02-12,23
2012-02-19,42
2012-02-26,60
2012-03-04,50
2012-03-11,57
2012-03-18,31
2012-03-25,43
2012-04-01,37
2012-04-08,100
2012-04-15,37
2012-04-22,26
2012-04-29,45
2012-05-06,83
2012-05-13,45
2012-05-20,49
2012-05-27,21
2012-06-03,32
2012-06-10,33
2012-06-17,26
2012-06-24,48
2012-07-01,92
2012-07-08,0
2012-07-15,51
2012-07-22,54
2012-07-29,58
2012-08-05,23
2012-08-12,35
2012-08-19,60
2012-08-26,55
2012-09-02,96
2012-09-09,61
2012-09-16,52
2012-09-23,22
2012-09-30,60
2012-10-07,45
2012-10-14,69
2012-10-21,81
2012-10-28,30
2012-11-04,37
2012-11-11,62
2012-11-18,50
2012-11-25,69
2012-12-02,41
2012-12-09,33
2012-12-16,50
2012-12-23,79
2012-12-30,64
