Category: All categories

Week,Fur: (Portugal)
2016-01-03,32
2016-01-10,11
2016-01-17,29
2016-01-24,32
2016-01-31,15
2016-02-07,23
2016-02-14,32
2016-02-21,23
2016-02-28,31
2016-03-06,26
2016-03-13,23
2016-03-20,31
2016-03-27,24
2016-04-03,26
2016-04-10,19
2016-04-17,17
2016-04-24,15
2016-05-01,15
2016-05-08,23
2016-05-15,21
2016-05-22,20
2016-05-29,34
2016-06-05,22
2016-06-12,29
2016-06-19,19
2016-06-26,16
2016-07-03,21
2016-07-10,23
2016-07-17,16
2016-07-24,24
2016-07-31,22
2016-08-07,18
2016-08-14,22
2016-08-21,37
2016-08-28,21
2016-09-04,21
2016-09-11,26
2016-09-18,23
2016-09-25,23
2016-10-02,21
2016-10-09,32
2016-10-16,19
2016-10-23,20
2016-10-30,14
2016-11-06,37
2016-11-13,30
2016-11-20,17
2016-11-27,31
2016-12-04,67
2016-12-11,68
2016-12-18,68
2016-12-25,60
2017-01-01,75
2017-01-08,74
2017-01-15,86
2017-01-22,76
2017-01-29,71
2017-02-05,48
2017-02-12,33
2017-02-19,43
2017-02-26,53
2017-03-05,57
2017-03-12,43
2017-03-19,42
2017-03-26,52
2017-04-02,44
2017-04-09,56
2017-04-16,41
2017-04-23,30
2017-04-30,36
2017-05-07,38
2017-05-14,47
2017-05-21,27
2017-05-28,37
2017-06-04,39
2017-06-11,40
2017-06-18,30
2017-06-25,38
2017-07-02,29
2017-07-09,41
2017-07-16,27
2017-07-23,28
2017-07-30,40
2017-08-06,24
2017-08-13,51
2017-08-20,30
2017-08-27,46
2017-09-03,34
2017-09-10,36
2017-09-17,47
2017-09-24,42
2017-10-01,28
2017-10-08,37
2017-10-15,40
2017-10-22,39
2017-10-29,26
2017-11-05,60
2017-11-12,49
2017-11-19,52
2017-11-26,74
2017-12-03,100
2017-12-10,89
2017-12-17,78
2017-12-24,67
2017-12-31,67
