Category: All categories

Week,Furniture: (Portugal)
2012-01-01,86
2012-01-08,90
2012-01-15,80
2012-01-22,84
2012-01-29,85
2012-02-05,79
2012-02-12,75
2012-02-19,100
2012-02-26,82
2012-03-04,81
2012-03-11,80
2012-03-18,87
2012-03-25,70
2012-04-01,64
2012-04-08,80
2012-04-15,87
2012-04-22,81
2012-04-29,79
2012-05-06,90
2012-05-13,73
2012-05-20,82
2012-05-27,82
2012-06-03,67
2012-06-10,76
2012-06-17,71
2012-06-24,72
2012-07-01,85
2012-07-08,72
2012-07-15,86
2012-07-22,74
2012-07-29,79
2012-08-05,83
2012-08-12,87
2012-08-19,96
2012-08-26,95
2012-09-02,88
2012-09-09,93
2012-09-16,88
2012-09-23,82
2012-09-30,86
2012-10-07,78
2012-10-14,80
2012-10-21,86
2012-10-28,83
2012-11-04,86
2012-11-11,80
2012-11-18,75
2012-11-25,78
2012-12-02,62
2012-12-09,57
2012-12-16,57
2012-12-23,55
2012-12-30,74
2013-01-06,73
2013-01-13,82
2013-01-20,84
2013-01-27,90
2013-02-03,77
2013-02-10,78
2013-02-17,90
2013-02-24,75
2013-03-03,89
2013-03-10,80
2013-03-17,86
2013-03-24,87
2013-03-31,83
2013-04-07,85
2013-04-14,77
2013-04-21,76
2013-04-28,86
2013-05-05,76
2013-05-12,88
2013-05-19,82
2013-05-26,76
2013-06-02,75
2013-06-09,79
2013-06-16,67
2013-06-23,70
2013-06-30,63
2013-07-07,68
2013-07-14,70
2013-07-21,88
2013-07-28,84
2013-08-04,81
2013-08-11,77
2013-08-18,98
2013-08-25,84
2013-09-01,75
2013-09-08,91
2013-09-15,92
2013-09-22,89
2013-09-29,84
2013-10-06,89
2013-10-13,91
2013-10-20,85
2013-10-27,86
2013-11-03,85
2013-11-10,94
2013-11-17,81
2013-11-24,84
2013-12-01,73
2013-12-08,74
2013-12-15,67
2013-12-22,70
2013-12-29,76
