Category: All categories

Week,Furniture: (Portugal)
2017-01-01,86
2017-01-08,89
2017-01-15,94
2017-01-22,89
2017-01-29,97
2017-02-05,86
2017-02-12,94
2017-02-19,88
2017-02-26,100
2017-03-05,91
2017-03-12,92
2017-03-19,94
2017-03-26,88
2017-04-02,94
2017-04-09,85
2017-04-16,82
2017-04-23,76
2017-04-30,82
2017-05-07,76
2017-05-14,80
2017-05-21,80
2017-05-28,82
2017-06-04,78
2017-06-11,73
2017-06-18,66
2017-06-25,79
2017-07-02,86
2017-07-09,82
2017-07-16,87
2017-07-23,76
2017-07-30,96
2017-08-06,86
2017-08-13,87
2017-08-20,86
2017-08-27,94
2017-09-03,82
2017-09-10,87
2017-09-17,89
2017-09-24,94
2017-10-01,86
2017-10-08,81
2017-10-15,84
2017-10-22,86
2017-10-29,86
2017-11-05,85
2017-11-12,82
2017-11-19,93
2017-11-26,85
2017-12-03,83
2017-12-10,64
2017-12-17,65
2017-12-24,75
2017-12-31,85
