Category: All categories

Week,Gasoline: (Portugal)
2007-01-07,66
2007-01-14,77
2007-01-21,38
2007-01-28,59
2007-02-04,30
2007-02-11,37
2007-02-18,67
2007-02-25,17
2007-03-04,33
2007-03-11,42
2007-03-18,30
2007-03-25,47
2007-04-01,30
2007-04-08,59
2007-04-15,44
2007-04-22,71
2007-04-29,46
2007-05-06,43
2007-05-13,59
2007-05-20,61
2007-05-27,46
2007-06-03,41
2007-06-10,89
2007-06-17,40
2007-06-24,39
2007-07-01,12
2007-07-08,26
2007-07-15,0
2007-07-22,26
2007-07-29,50
2007-08-05,100
2007-08-12,67
2007-08-19,35
2007-08-26,69
2007-09-02,71
2007-09-09,52
2007-09-16,63
2007-09-23,56
2007-09-30,63
2007-10-07,39
2007-10-14,89
2007-10-21,63
2007-10-28,56
2007-11-04,34
2007-11-11,66
2007-11-18,74
2007-11-25,30
2007-12-02,78
2007-12-09,69
2007-12-16,50
2007-12-23,56
2007-12-30,64
