Category: All categories

Week,Gasoline: (Portugal)
2012-01-01,59
2012-01-08,77
2012-01-15,82
2012-01-22,59
2012-01-29,59
2012-02-05,74
2012-02-12,79
2012-02-19,76
2012-02-26,74
2012-03-04,76
2012-03-11,76
2012-03-18,89
2012-03-25,100
2012-04-01,92
2012-04-08,78
2012-04-15,55
2012-04-22,77
2012-04-29,46
2012-05-06,64
2012-05-13,67
2012-05-20,68
2012-05-27,60
2012-06-03,75
2012-06-10,56
2012-06-17,67
2012-06-24,67
2012-07-01,80
2012-07-08,78
2012-07-15,64
2012-07-22,69
2012-07-29,82
2012-08-05,86
2012-08-12,78
2012-08-19,73
2012-08-26,85
2012-09-02,96
2012-09-09,88
2012-09-16,69
2012-09-23,84
2012-09-30,66
2012-10-07,74
2012-10-14,75
2012-10-21,93
2012-10-28,94
2012-11-04,69
2012-11-11,59
2012-11-18,64
2012-11-25,62
2012-12-02,66
2012-12-09,64
2012-12-16,52
2012-12-23,59
2012-12-30,72
2013-01-06,71
2013-01-13,60
2013-01-20,70
2013-01-27,67
2013-02-03,61
2013-02-10,54
2013-02-17,56
2013-02-24,65
2013-03-03,67
2013-03-10,72
2013-03-17,64
2013-03-24,75
2013-03-31,51
2013-04-07,64
2013-04-14,81
2013-04-21,91
2013-04-28,80
2013-05-05,81
2013-05-12,75
2013-05-19,80
2013-05-26,66
2013-06-02,73
2013-06-09,73
2013-06-16,53
2013-06-23,56
2013-06-30,70
2013-07-07,65
2013-07-14,80
2013-07-21,72
2013-07-28,80
2013-08-04,66
2013-08-11,74
2013-08-18,86
2013-08-25,75
2013-09-01,70
2013-09-08,75
2013-09-15,89
2013-09-22,61
2013-09-29,63
2013-10-06,72
2013-10-13,75
2013-10-20,55
2013-10-27,71
2013-11-03,82
2013-11-10,65
2013-11-17,65
2013-11-24,74
2013-12-01,67
2013-12-08,82
2013-12-15,63
2013-12-22,80
2013-12-29,65
