Category: All categories

Week,Hairdresser: (Portugal)
2011-01-02,75
2011-01-09,67
2011-01-16,75
2011-01-23,84
2011-01-30,62
2011-02-06,57
2011-02-13,71
2011-02-20,67
2011-02-27,72
2011-03-06,72
2011-03-13,66
2011-03-20,70
2011-03-27,81
2011-04-03,82
2011-04-10,75
2011-04-17,91
2011-04-24,64
2011-05-01,79
2011-05-08,63
2011-05-15,64
2011-05-22,74
2011-05-29,82
2011-06-05,75
2011-06-12,75
2011-06-19,71
2011-06-26,70
2011-07-03,78
2011-07-10,79
2011-07-17,76
2011-07-24,82
2011-07-31,100
2011-08-07,93
2011-08-14,69
2011-08-21,81
2011-08-28,99
2011-09-04,85
2011-09-11,81
2011-09-18,65
2011-09-25,83
2011-10-02,77
2011-10-09,72
2011-10-16,73
2011-10-23,63
2011-10-30,67
2011-11-06,69
2011-11-13,61
2011-11-20,83
2011-11-27,66
2011-12-04,66
2011-12-11,71
2011-12-18,76
2011-12-25,99
