Category: All categories

Week,Health care: (Portugal)
2006-01-01,0
2006-01-08,58
2006-01-15,80
2006-01-22,80
2006-01-29,0
2006-02-05,31
2006-02-12,0
2006-02-19,0
2006-02-26,0
2006-03-05,0
2006-03-12,44
2006-03-19,0
2006-03-26,83
2006-04-02,0
2006-04-09,0
2006-04-16,0
2006-04-23,0
2006-04-30,0
2006-05-07,42
2006-05-14,0
2006-05-21,31
2006-05-28,36
2006-06-04,0
2006-06-11,0
2006-06-18,66
2006-06-25,0
2006-07-02,25
2006-07-09,30
2006-07-16,100
2006-07-23,38
2006-07-30,0
2006-08-06,0
2006-08-13,83
2006-08-20,25
2006-08-27,35
2006-09-03,0
2006-09-10,27
2006-09-17,0
2006-09-24,0
2006-10-01,27
2006-10-08,60
2006-10-15,0
2006-10-22,38
2006-10-29,0
2006-11-05,0
2006-11-12,0
2006-11-19,0
2006-11-26,0
2006-12-03,24
2006-12-10,0
2006-12-17,0
2006-12-24,0
2006-12-31,44
2007-01-07,29
2007-01-14,0
2007-01-21,0
2007-01-28,53
2007-02-04,52
2007-02-11,37
2007-02-18,38
2007-02-25,0
2007-03-04,0
2007-03-11,0
2007-03-18,0
2007-03-25,36
2007-04-01,46
2007-04-08,25
2007-04-15,15
2007-04-22,17
2007-04-29,26
2007-05-06,12
2007-05-13,0
2007-05-20,0
2007-05-27,23
2007-06-03,28
2007-06-10,0
2007-06-17,21
2007-06-24,0
2007-07-01,31
2007-07-08,0
2007-07-15,0
2007-07-22,0
2007-07-29,0
2007-08-05,14
2007-08-12,42
2007-08-19,43
2007-08-26,29
2007-09-02,15
2007-09-09,0
2007-09-16,14
2007-09-23,0
2007-09-30,32
2007-10-07,44
2007-10-14,0
2007-10-21,14
2007-10-28,0
2007-11-04,15
2007-11-11,39
2007-11-18,12
2007-11-25,12
2007-12-02,15
2007-12-09,15
2007-12-16,11
2007-12-23,0
2007-12-30,22
