Category: All categories

Week,Health care: (Portugal)
2008-01-06,20
2008-01-13,17
2008-01-20,59
2008-01-27,75
2008-02-03,55
2008-02-10,44
2008-02-17,35
2008-02-24,0
2008-03-02,49
2008-03-09,29
2008-03-16,0
2008-03-23,0
2008-03-30,23
2008-04-06,29
2008-04-13,41
2008-04-20,20
2008-04-27,32
2008-05-04,18
2008-05-11,17
2008-05-18,85
2008-05-25,29
2008-06-01,28
2008-06-08,0
2008-06-15,75
2008-06-22,26
2008-06-29,37
2008-07-06,42
2008-07-13,24
2008-07-20,27
2008-07-27,18
2008-08-03,0
2008-08-10,100
2008-08-17,62
2008-08-24,18
2008-08-31,31
2008-09-07,35
2008-09-14,54
2008-09-21,29
2008-09-28,0
2008-10-05,0
2008-10-12,41
2008-10-19,26
2008-10-26,34
2008-11-02,40
2008-11-09,37
2008-11-16,41
2008-11-23,24
2008-11-30,20
2008-12-07,26
2008-12-14,38
2008-12-21,0
2008-12-28,43
2009-01-04,0
2009-01-11,21
2009-01-18,23
2009-01-25,53
2009-02-01,48
2009-02-08,61
2009-02-15,40
2009-02-22,0
2009-03-01,52
2009-03-08,0
2009-03-15,0
2009-03-22,0
2009-03-29,71
2009-04-05,50
2009-04-12,20
2009-04-19,37
2009-04-26,43
2009-05-03,41
2009-05-10,14
2009-05-17,33
2009-05-24,48
2009-05-31,16
2009-06-07,13
2009-06-14,25
2009-06-21,13
2009-06-28,42
2009-07-05,55
2009-07-12,31
2009-07-19,17
2009-07-26,77
2009-08-02,27
2009-08-09,19
2009-08-16,67
2009-08-23,21
2009-08-30,32
2009-09-06,63
2009-09-13,41
2009-09-20,40
2009-09-27,0
2009-10-04,13
2009-10-11,27
2009-10-18,39
2009-10-25,19
2009-11-01,35
2009-11-08,51
2009-11-15,33
2009-11-22,59
2009-11-29,54
2009-12-06,40
2009-12-13,40
2009-12-20,0
2009-12-27,51
