Category: All categories

Week,Health care: (Portugal)
2009-01-04,48
2009-01-11,0
2009-01-18,54
2009-01-25,30
2009-02-01,52
2009-02-08,82
2009-02-15,0
2009-02-22,86
2009-03-01,65
2009-03-08,53
2009-03-15,22
2009-03-22,33
2009-03-29,100
2009-04-05,41
2009-04-12,23
2009-04-19,79
2009-04-26,54
2009-05-03,78
2009-05-10,0
2009-05-17,27
2009-05-24,53
2009-05-31,31
2009-06-07,78
2009-06-14,43
2009-06-21,49
2009-06-28,49
2009-07-05,77
2009-07-12,51
2009-07-19,36
2009-07-26,40
2009-08-02,0
2009-08-09,0
2009-08-16,45
2009-08-23,51
2009-08-30,58
2009-09-06,0
2009-09-13,49
2009-09-20,57
2009-09-27,30
2009-10-04,35
2009-10-11,25
2009-10-18,36
2009-10-25,16
2009-11-01,44
2009-11-08,78
2009-11-15,77
2009-11-22,84
2009-11-29,67
2009-12-06,31
2009-12-13,64
2009-12-20,0
2009-12-27,32
