Category: All categories

Week,Interior design: (Portugal)
2017-01-01,82
2017-01-08,94
2017-01-15,95
2017-01-22,100
2017-01-29,98
2017-02-05,97
2017-02-12,95
2017-02-19,87
2017-02-26,97
2017-03-05,92
2017-03-12,98
2017-03-19,87
2017-03-26,99
2017-04-02,81
2017-04-09,85
2017-04-16,75
2017-04-23,88
2017-04-30,75
2017-05-07,81
2017-05-14,84
2017-05-21,82
2017-05-28,76
2017-06-04,71
2017-06-11,73
2017-06-18,68
2017-06-25,71
2017-07-02,76
2017-07-09,81
2017-07-16,84
2017-07-23,88
2017-07-30,94
2017-08-06,81
2017-08-13,76
2017-08-20,86
2017-08-27,83
2017-09-03,73
2017-09-10,84
2017-09-17,85
2017-09-24,84
2017-10-01,89
2017-10-08,90
2017-10-15,80
2017-10-22,91
2017-10-29,89
2017-11-05,92
2017-11-12,74
2017-11-19,79
2017-11-26,84
2017-12-03,79
2017-12-10,73
2017-12-17,60
2017-12-24,64
2017-12-31,78
2018-01-07,88
2018-01-14,90
2018-01-21,93
2018-01-28,92
2018-02-04,81
2018-02-11,79
2018-02-18,91
2018-02-25,89
2018-03-04,94
2018-03-11,94
2018-03-18,89
2018-03-25,87
2018-04-01,80
2018-04-08,78
2018-04-15,87
2018-04-22,77
2018-04-29,88
2018-05-06,73
2018-05-13,75
2018-05-20,75
2018-05-27,76
2018-06-03,77
2018-06-10,77
2018-06-17,57
2018-06-24,65
2018-07-01,73
2018-07-08,66
2018-07-15,74
2018-07-22,80
2018-07-29,66
2018-08-05,70
2018-08-12,78
2018-08-19,83
2018-08-26,79
2018-09-02,79
2018-09-09,83
2018-09-16,85
2018-09-23,80
2018-09-30,86
2018-10-07,86
2018-10-14,83
2018-10-21,85
2018-10-28,76
2018-11-04,82
2018-11-11,79
2018-11-18,85
2018-11-25,84
2018-12-02,80
2018-12-09,66
2018-12-16,59
2018-12-23,58
2018-12-30,67
