Category: All categories

Week,Jam: (Portugal)
2012-01-01,29
2012-01-08,33
2012-01-15,27
2012-01-22,30
2012-01-29,38
2012-02-05,36
2012-02-12,34
2012-02-19,31
2012-02-26,34
2012-03-04,38
2012-03-11,38
2012-03-18,43
2012-03-25,29
2012-04-01,56
2012-04-08,36
2012-04-15,27
2012-04-22,33
2012-04-29,31
2012-05-06,31
2012-05-13,24
2012-05-20,31
2012-05-27,33
2012-06-03,40
2012-06-10,41
2012-06-17,43
2012-06-24,36
2012-07-01,40
2012-07-08,40
2012-07-15,41
2012-07-22,39
2012-07-29,40
2012-08-05,47
2012-08-12,52
2012-08-19,55
2012-08-26,49
2012-09-02,57
2012-09-09,50
2012-09-16,50
2012-09-23,58
2012-09-30,54
2012-10-07,57
2012-10-14,58
2012-10-21,46
2012-10-28,52
2012-11-04,47
2012-11-11,50
2012-11-18,58
2012-11-25,49
2012-12-02,57
2012-12-09,74
2012-12-16,100
2012-12-23,88
2012-12-30,63
