Category: All categories

Week,Jam: (Portugal)
2017-01-01,31
2017-01-08,38
2017-01-15,42
2017-01-22,42
2017-01-29,48
2017-02-05,46
2017-02-12,44
2017-02-19,39
2017-02-26,41
2017-03-05,41
2017-03-12,43
2017-03-19,39
2017-03-26,40
2017-04-02,40
2017-04-09,63
2017-04-16,36
2017-04-23,33
2017-04-30,36
2017-05-07,35
2017-05-14,38
2017-05-21,35
2017-05-28,40
2017-06-04,41
2017-06-11,47
2017-06-18,35
2017-06-25,44
2017-07-02,44
2017-07-09,41
2017-07-16,42
2017-07-23,39
2017-07-30,51
2017-08-06,46
2017-08-13,62
2017-08-20,62
2017-08-27,66
2017-09-03,48
2017-09-10,43
2017-09-17,49
2017-09-24,56
2017-10-01,54
2017-10-08,48
2017-10-15,42
2017-10-22,52
2017-10-29,46
2017-11-05,50
2017-11-12,49
2017-11-19,46
2017-11-26,48
2017-12-03,55
2017-12-10,52
2017-12-17,100
2017-12-24,95
2017-12-31,44
2018-01-07,35
2018-01-14,33
2018-01-21,40
2018-01-28,37
2018-02-04,47
2018-02-11,43
2018-02-18,38
2018-02-25,47
2018-03-04,36
2018-03-11,45
2018-03-18,46
2018-03-25,73
2018-04-01,38
2018-04-08,38
2018-04-15,35
2018-04-22,30
2018-04-29,37
2018-05-06,31
2018-05-13,27
2018-05-20,36
2018-05-27,33
2018-06-03,35
2018-06-10,35
2018-06-17,32
2018-06-24,34
2018-07-01,37
2018-07-08,34
2018-07-15,38
2018-07-22,33
2018-07-29,32
2018-08-05,33
2018-08-12,44
2018-08-19,42
2018-08-26,51
2018-09-02,52
2018-09-09,52
2018-09-16,53
2018-09-23,50
2018-09-30,64
2018-10-07,57
2018-10-14,59
2018-10-21,56
2018-10-28,61
2018-11-04,52
2018-11-11,49
2018-11-18,42
2018-11-25,52
2018-12-02,51
2018-12-09,61
2018-12-16,88
2018-12-23,98
2018-12-30,58
