Category: All categories

Week,Juice: (Portugal)
2013-01-06,9
2013-01-13,7
2013-01-20,6
2013-01-27,13
2013-02-03,10
2013-02-10,16
2013-02-17,10
2013-02-24,12
2013-03-03,12
2013-03-10,11
2013-03-17,9
2013-03-24,9
2013-03-31,14
2013-04-07,20
2013-04-14,24
2013-04-21,13
2013-04-28,14
2013-05-05,16
2013-05-12,12
2013-05-19,16
2013-05-26,10
2013-06-02,8
2013-06-09,11
2013-06-16,8
2013-06-23,15
2013-06-30,15
2013-07-07,17
2013-07-14,12
2013-07-21,16
2013-07-28,16
2013-08-04,17
2013-08-11,20
2013-08-18,12
2013-08-25,16
2013-09-01,16
2013-09-08,18
2013-09-15,14
2013-09-22,19
2013-09-29,9
2013-10-06,17
2013-10-13,13
2013-10-20,9
2013-10-27,14
2013-11-03,16
2013-11-10,11
2013-11-17,17
2013-11-24,18
2013-12-01,13
2013-12-08,13
2013-12-15,14
2013-12-22,10
2013-12-29,15
2014-01-05,17
2014-01-12,20
2014-01-19,16
2014-01-26,20
2014-02-02,19
2014-02-09,18
2014-02-16,14
2014-02-23,18
2014-03-02,30
2014-03-09,58
2014-03-16,100
2014-03-23,60
2014-03-30,38
2014-04-06,40
2014-04-13,40
2014-04-20,46
2014-04-27,29
2014-05-04,85
2014-05-11,49
2014-05-18,38
2014-05-25,37
2014-06-01,30
2014-06-08,37
2014-06-15,32
2014-06-22,19
2014-06-29,31
2014-07-06,33
2014-07-13,35
2014-07-20,33
2014-07-27,30
2014-08-03,30
2014-08-10,24
2014-08-17,30
2014-08-24,33
2014-08-31,25
2014-09-07,25
2014-09-14,24
2014-09-21,19
2014-09-28,22
2014-10-05,18
2014-10-12,20
2014-10-19,25
2014-10-26,20
2014-11-02,22
2014-11-09,15
2014-11-16,22
2014-11-23,15
2014-11-30,16
2014-12-07,19
2014-12-14,13
2014-12-21,19
2014-12-28,23
