Category: All categories

Week,Lawyer: (Portugal)
2016-01-03,94
2016-01-10,82
2016-01-17,76
2016-01-24,82
2016-01-31,94
2016-02-07,69
2016-02-14,83
2016-02-21,90
2016-02-28,83
2016-03-06,80
2016-03-13,84
2016-03-20,59
2016-03-27,76
2016-04-03,87
2016-04-10,75
2016-04-17,74
2016-04-24,72
2016-05-01,84
2016-05-08,73
2016-05-15,100
2016-05-22,74
2016-05-29,90
2016-06-05,66
2016-06-12,69
2016-06-19,77
2016-06-26,85
2016-07-03,81
2016-07-10,82
2016-07-17,88
2016-07-24,71
2016-07-31,64
2016-08-07,51
2016-08-14,57
2016-08-21,61
2016-08-28,76
2016-09-04,79
2016-09-11,83
2016-09-18,90
2016-09-25,85
2016-10-02,73
2016-10-09,76
2016-10-16,85
2016-10-23,87
2016-10-30,72
2016-11-06,97
2016-11-13,95
2016-11-20,88
2016-11-27,78
2016-12-04,80
2016-12-11,94
2016-12-18,68
2016-12-25,75
