Category: All categories

Week,Life insurance: (Portugal)
2008-01-06,0
2008-01-13,27
2008-01-20,28
2008-01-27,20
2008-02-03,24
2008-02-10,0
2008-02-17,0
2008-02-24,22
2008-03-02,0
2008-03-09,19
2008-03-16,0
2008-03-23,25
2008-03-30,36
2008-04-06,0
2008-04-13,40
2008-04-20,69
2008-04-27,0
2008-05-04,0
2008-05-11,0
2008-05-18,0
2008-05-25,100
2008-06-01,0
2008-06-08,0
2008-06-15,29
2008-06-22,0
2008-06-29,0
2008-07-06,50
2008-07-13,0
2008-07-20,0
2008-07-27,43
2008-08-03,0
2008-08-10,0
2008-08-17,39
2008-08-24,65
2008-08-31,23
2008-09-07,0
2008-09-14,34
2008-09-21,0
2008-09-28,0
2008-10-05,0
2008-10-12,48
2008-10-19,0
2008-10-26,0
2008-11-02,0
2008-11-09,0
2008-11-16,26
2008-11-23,20
2008-11-30,0
2008-12-07,23
2008-12-14,0
2008-12-21,0
2008-12-28,0
