Category: All categories

Week,Life insurance: (Portugal)
2010-01-03,0
2010-01-10,40
2010-01-17,32
2010-01-24,48
2010-01-31,57
2010-02-07,75
2010-02-14,33
2010-02-21,23
2010-02-28,57
2010-03-07,31
2010-03-14,0
2010-03-21,46
2010-03-28,51
2010-04-04,0
2010-04-11,27
2010-04-18,0
2010-04-25,46
2010-05-02,62
2010-05-09,41
2010-05-16,42
2010-05-23,30
2010-05-30,42
2010-06-06,0
2010-06-13,31
2010-06-20,67
2010-06-27,34
2010-07-04,46
2010-07-11,100
2010-07-18,0
2010-07-25,32
2010-08-01,52
2010-08-08,0
2010-08-15,33
2010-08-22,83
2010-08-29,49
2010-09-05,35
2010-09-12,0
2010-09-19,28
2010-09-26,0
2010-10-03,0
2010-10-10,0
2010-10-17,97
2010-10-24,49
2010-10-31,0
2010-11-07,31
2010-11-14,0
2010-11-21,0
2010-11-28,24
2010-12-05,0
2010-12-12,31
2010-12-19,0
2010-12-26,0
2011-01-02,41
2011-01-09,23
2011-01-16,0
2011-01-23,47
2011-01-30,46
2011-02-06,50
2011-02-13,42
2011-02-20,26
2011-02-27,0
2011-03-06,31
2011-03-13,50
2011-03-20,20
2011-03-27,34
2011-04-03,20
2011-04-10,47
2011-04-17,47
2011-04-24,45
2011-05-01,30
2011-05-08,21
2011-05-15,45
2011-05-22,31
2011-05-29,35
2011-06-05,22
2011-06-12,21
2011-06-19,0
2011-06-26,19
2011-07-03,17
2011-07-10,13
2011-07-17,41
2011-07-24,0
2011-07-31,0
2011-08-07,0
2011-08-14,0
2011-08-21,47
2011-08-28,46
2011-09-04,16
2011-09-11,22
2011-09-18,0
2011-09-25,0
2011-10-02,16
2011-10-09,19
2011-10-16,34
2011-10-23,13
2011-10-30,26
2011-11-06,15
2011-11-13,41
2011-11-20,0
2011-11-27,0
2011-12-04,32
2011-12-11,0
2011-12-18,0
2011-12-25,0
