Category: All categories

Week,Life insurance: (Portugal)
2011-01-02,24
2011-01-09,47
2011-01-16,0
2011-01-23,17
2011-01-30,53
2011-02-06,69
2011-02-13,24
2011-02-20,28
2011-02-27,24
2011-03-06,34
2011-03-13,31
2011-03-20,38
2011-03-27,45
2011-04-03,25
2011-04-10,26
2011-04-17,39
2011-04-24,100
2011-05-01,19
2011-05-08,46
2011-05-15,81
2011-05-22,41
2011-05-29,39
2011-06-05,70
2011-06-12,38
2011-06-19,0
2011-06-26,0
2011-07-03,14
2011-07-10,17
2011-07-17,20
2011-07-24,23
2011-07-31,0
2011-08-07,28
2011-08-14,0
2011-08-21,57
2011-08-28,0
2011-09-04,30
2011-09-11,22
2011-09-18,16
2011-09-25,17
2011-10-02,0
2011-10-09,42
2011-10-16,48
2011-10-23,49
2011-10-30,0
2011-11-06,0
2011-11-13,56
2011-11-20,35
2011-11-27,26
2011-12-04,29
2011-12-11,21
2011-12-18,0
2011-12-25,0
