Category: All categories

Week,Margarine: (Portugal)
2010-01-03,47
2010-01-10,0
2010-01-17,32
2010-01-24,0
2010-01-31,29
2010-02-07,27
2010-02-14,0
2010-02-21,0
2010-02-28,22
2010-03-07,45
2010-03-14,59
2010-03-21,0
2010-03-28,0
2010-04-04,19
2010-04-11,75
2010-04-18,0
2010-04-25,23
2010-05-02,0
2010-05-09,40
2010-05-16,0
2010-05-23,0
2010-05-30,43
2010-06-06,43
2010-06-13,25
2010-06-20,45
2010-06-27,27
2010-07-04,0
2010-07-11,24
2010-07-18,0
2010-07-25,0
2010-08-01,0
2010-08-08,0
2010-08-15,63
2010-08-22,27
2010-08-29,0
2010-09-05,24
2010-09-12,81
2010-09-19,71
2010-09-26,0
2010-10-03,27
2010-10-10,0
2010-10-17,0
2010-10-24,100
2010-10-31,0
2010-11-07,0
2010-11-14,0
2010-11-21,70
2010-11-28,24
2010-12-05,0
2010-12-12,0
2010-12-19,51
2010-12-26,0
2011-01-02,0
2011-01-09,32
2011-01-16,0
2011-01-23,38
2011-01-30,22
2011-02-06,24
2011-02-13,0
2011-02-20,0
2011-02-27,32
2011-03-06,20
2011-03-13,16
2011-03-20,18
2011-03-27,13
2011-04-03,13
2011-04-10,0
2011-04-17,22
2011-04-24,35
2011-05-01,26
2011-05-08,0
2011-05-15,26
2011-05-22,0
2011-05-29,0
2011-06-05,0
2011-06-12,0
2011-06-19,0
2011-06-26,16
2011-07-03,29
2011-07-10,43
2011-07-17,26
2011-07-24,14
2011-07-31,0
2011-08-07,0
2011-08-14,0
2011-08-21,30
2011-08-28,34
2011-09-04,0
2011-09-11,0
2011-09-18,15
2011-09-25,16
2011-10-02,0
2011-10-09,29
2011-10-16,48
2011-10-23,26
2011-10-30,34
2011-11-06,13
2011-11-13,14
2011-11-20,27
2011-11-27,22
2011-12-04,0
2011-12-11,45
2011-12-18,36
2011-12-25,20
