Category: All categories

Week,Margarine: (Portugal)
2013-01-06,19
2013-01-13,65
2013-01-20,61
2013-01-27,29
2013-02-03,23
2013-02-10,38
2013-02-17,27
2013-02-24,37
2013-03-03,15
2013-03-10,55
2013-03-17,25
2013-03-24,21
2013-03-31,21
2013-04-07,30
2013-04-14,41
2013-04-21,86
2013-04-28,39
2013-05-05,0
2013-05-12,0
2013-05-19,39
2013-05-26,17
2013-06-02,52
2013-06-09,36
2013-06-16,28
2013-06-23,54
2013-06-30,17
2013-07-07,49
2013-07-14,0
2013-07-21,19
2013-07-28,0
2013-08-04,0
2013-08-11,32
2013-08-18,54
2013-08-25,0
2013-09-01,0
2013-09-08,30
2013-09-15,21
2013-09-22,66
2013-09-29,35
2013-10-06,41
2013-10-13,35
2013-10-20,33
2013-10-27,26
2013-11-03,100
2013-11-10,39
2013-11-17,0
2013-11-24,23
2013-12-01,26
2013-12-08,25
2013-12-15,23
2013-12-22,24
2013-12-29,26
