Category: All categories

Week,Mercedes-Benz: (Portugal)
2012-01-01,71
2012-01-08,64
2012-01-15,58
2012-01-22,58
2012-01-29,58
2012-02-05,68
2012-02-12,55
2012-02-19,60
2012-02-26,56
2012-03-04,66
2012-03-11,73
2012-03-18,59
2012-03-25,52
2012-04-01,61
2012-04-08,49
2012-04-15,64
2012-04-22,48
2012-04-29,51
2012-05-06,55
2012-05-13,56
2012-05-20,60
2012-05-27,59
2012-06-03,59
2012-06-10,62
2012-06-17,67
2012-06-24,74
2012-07-01,71
2012-07-08,63
2012-07-15,67
2012-07-22,64
2012-07-29,62
2012-08-05,66
2012-08-12,69
2012-08-19,74
2012-08-26,69
2012-09-02,70
2012-09-09,70
2012-09-16,100
2012-09-23,80
2012-09-30,73
2012-10-07,71
2012-10-14,60
2012-10-21,67
2012-10-28,75
2012-11-04,68
2012-11-11,69
2012-11-18,59
2012-11-25,64
2012-12-02,62
2012-12-09,65
2012-12-16,57
2012-12-23,76
2012-12-30,64
