Category: All categories

Week,Mercedes-Benz: (Portugal)
2016-01-03,88
2016-01-10,88
2016-01-17,83
2016-01-24,90
2016-01-31,82
2016-02-07,90
2016-02-14,86
2016-02-21,88
2016-02-28,79
2016-03-06,87
2016-03-13,88
2016-03-20,94
2016-03-27,83
2016-04-03,87
2016-04-10,90
2016-04-17,84
2016-04-24,79
2016-05-01,82
2016-05-08,83
2016-05-15,79
2016-05-22,87
2016-05-29,77
2016-06-05,83
2016-06-12,81
2016-06-19,77
2016-06-26,81
2016-07-03,87
2016-07-10,75
2016-07-17,89
2016-07-24,81
2016-07-31,88
2016-08-07,87
2016-08-14,90
2016-08-21,88
2016-08-28,86
2016-09-04,87
2016-09-11,90
2016-09-18,94
2016-09-25,96
2016-10-02,92
2016-10-09,92
2016-10-16,93
2016-10-23,96
2016-10-30,94
2016-11-06,92
2016-11-13,100
2016-11-20,93
2016-11-27,69
2016-12-04,14
2016-12-11,13
2016-12-18,9
2016-12-25,17
2017-01-01,15
2017-01-08,13
2017-01-15,12
2017-01-22,15
2017-01-29,13
2017-02-05,13
2017-02-12,14
2017-02-19,14
2017-02-26,14
2017-03-05,12
2017-03-12,12
2017-03-19,11
2017-03-26,13
2017-04-02,15
2017-04-09,14
2017-04-16,12
2017-04-23,14
2017-04-30,12
2017-05-07,12
2017-05-14,11
2017-05-21,11
2017-05-28,11
2017-06-04,10
2017-06-11,14
2017-06-18,12
2017-06-25,12
2017-07-02,11
2017-07-09,13
2017-07-16,15
2017-07-23,13
2017-07-30,16
2017-08-06,13
2017-08-13,16
2017-08-20,14
2017-08-27,12
2017-09-03,12
2017-09-10,15
2017-09-17,13
2017-09-24,14
2017-10-01,13
2017-10-08,14
2017-10-15,14
2017-10-22,13
2017-10-29,14
2017-11-05,12
2017-11-12,14
2017-11-19,9
2017-11-26,11
2017-12-03,12
2017-12-10,11
2017-12-17,14
2017-12-24,15
2017-12-31,15
