Category: All categories

Week,Mobile phone: (Portugal)
2006-01-01,81
2006-01-08,68
2006-01-15,82
2006-01-22,77
2006-01-29,72
2006-02-05,66
2006-02-12,67
2006-02-19,68
2006-02-26,61
2006-03-05,68
2006-03-12,65
2006-03-19,58
2006-03-26,63
2006-04-02,67
2006-04-09,59
2006-04-16,58
2006-04-23,51
2006-04-30,60
2006-05-07,58
2006-05-14,57
2006-05-21,54
2006-05-28,60
2006-06-04,50
2006-06-11,56
2006-06-18,61
2006-06-25,64
2006-07-02,65
2006-07-09,64
2006-07-16,69
2006-07-23,71
2006-07-30,79
2006-08-06,72
2006-08-13,82
2006-08-20,67
2006-08-27,81
2006-09-03,72
2006-09-10,78
2006-09-17,68
2006-09-24,65
2006-10-01,70
2006-10-08,56
2006-10-15,54
2006-10-22,56
2006-10-29,64
2006-11-05,58
2006-11-12,63
2006-11-19,68
2006-11-26,71
2006-12-03,73
2006-12-10,69
2006-12-17,83
2006-12-24,100
2006-12-31,72
