Category: All categories

Week,Mobile phone: (Portugal)
2013-01-06,68
2013-01-13,71
2013-01-20,68
2013-01-27,67
2013-02-03,67
2013-02-10,69
2013-02-17,65
2013-02-24,62
2013-03-03,64
2013-03-10,69
2013-03-17,66
2013-03-24,74
2013-03-31,73
2013-04-07,65
2013-04-14,61
2013-04-21,67
2013-04-28,65
2013-05-05,68
2013-05-12,64
2013-05-19,63
2013-05-26,62
2013-06-02,64
2013-06-09,64
2013-06-16,59
2013-06-23,63
2013-06-30,62
2013-07-07,65
2013-07-14,68
2013-07-21,68
2013-07-28,76
2013-08-04,77
2013-08-11,79
2013-08-18,78
2013-08-25,74
2013-09-01,71
2013-09-08,79
2013-09-15,70
2013-09-22,76
2013-09-29,66
2013-10-06,74
2013-10-13,70
2013-10-20,71
2013-10-27,69
2013-11-03,68
2013-11-10,71
2013-11-17,72
2013-11-24,74
2013-12-01,84
2013-12-08,83
2013-12-15,79
2013-12-22,97
2013-12-29,85
2014-01-05,83
2014-01-12,76
2014-01-19,76
2014-01-26,73
2014-02-02,71
2014-02-09,76
2014-02-16,72
2014-02-23,75
2014-03-02,74
2014-03-09,70
2014-03-16,67
2014-03-23,68
2014-03-30,69
2014-04-06,66
2014-04-13,66
2014-04-20,73
2014-04-27,64
2014-05-04,69
2014-05-11,67
2014-05-18,66
2014-05-25,66
2014-06-01,69
2014-06-08,70
2014-06-15,71
2014-06-22,75
2014-06-29,73
2014-07-06,74
2014-07-13,76
2014-07-20,79
2014-07-27,88
2014-08-03,83
2014-08-10,83
2014-08-17,79
2014-08-24,84
2014-08-31,82
2014-09-07,82
2014-09-14,75
2014-09-21,74
2014-09-28,73
2014-10-05,73
2014-10-12,77
2014-10-19,74
2014-10-26,73
2014-11-02,77
2014-11-09,73
2014-11-16,76
2014-11-23,81
2014-11-30,81
2014-12-07,82
2014-12-14,81
2014-12-21,100
2014-12-28,89
