Category: All categories

Week,Natural gas: (Portugal)
2011-01-02,100
2011-01-09,74
2011-01-16,75
2011-01-23,73
2011-01-30,45
2011-02-06,79
2011-02-13,63
2011-02-20,76
2011-02-27,71
2011-03-06,63
2011-03-13,75
2011-03-20,81
2011-03-27,67
2011-04-03,73
2011-04-10,58
2011-04-17,64
2011-04-24,97
2011-05-01,71
2011-05-08,83
2011-05-15,64
2011-05-22,62
2011-05-29,81
2011-06-05,84
2011-06-12,66
2011-06-19,64
2011-06-26,70
2011-07-03,55
2011-07-10,55
2011-07-17,62
2011-07-24,47
2011-07-31,26
2011-08-07,67
2011-08-14,94
2011-08-21,68
2011-08-28,74
2011-09-04,86
2011-09-11,38
2011-09-18,98
2011-09-25,84
2011-10-02,81
2011-10-09,76
2011-10-16,64
2011-10-23,74
2011-10-30,79
2011-11-06,91
2011-11-13,97
2011-11-20,89
2011-11-27,83
2011-12-04,92
2011-12-11,64
2011-12-18,79
2011-12-25,86
