Category: All categories

Week,Natural gas: (Portugal)
2016-01-03,37
2016-01-10,34
2016-01-17,40
2016-01-24,33
2016-01-31,37
2016-02-07,38
2016-02-14,37
2016-02-21,37
2016-02-28,39
2016-03-06,40
2016-03-13,32
2016-03-20,31
2016-03-27,34
2016-04-03,30
2016-04-10,39
2016-04-17,35
2016-04-24,32
2016-05-01,40
2016-05-08,38
2016-05-15,40
2016-05-22,30
2016-05-29,31
2016-06-05,32
2016-06-12,32
2016-06-19,28
2016-06-26,25
2016-07-03,30
2016-07-10,22
2016-07-17,24
2016-07-24,27
2016-07-31,25
2016-08-07,27
2016-08-14,21
2016-08-21,24
2016-08-28,21
2016-09-04,28
2016-09-11,33
2016-09-18,31
2016-09-25,26
2016-10-02,29
2016-10-09,32
2016-10-16,34
2016-10-23,33
2016-10-30,24
2016-11-06,46
2016-11-13,38
2016-11-20,57
2016-11-27,62
2016-12-04,37
2016-12-11,42
2016-12-18,46
2016-12-25,49
2017-01-01,60
2017-01-08,61
2017-01-15,70
2017-01-22,70
2017-01-29,54
2017-02-05,50
2017-02-12,52
2017-02-19,47
2017-02-26,50
2017-03-05,50
2017-03-12,52
2017-03-19,52
2017-03-26,38
2017-04-02,49
2017-04-09,37
2017-04-16,37
2017-04-23,45
2017-04-30,29
2017-05-07,46
2017-05-14,50
2017-05-21,39
2017-05-28,45
2017-06-04,36
2017-06-11,32
2017-06-18,42
2017-06-25,42
2017-07-02,51
2017-07-09,31
2017-07-16,42
2017-07-23,33
2017-07-30,48
2017-08-06,37
2017-08-13,28
2017-08-20,38
2017-08-27,40
2017-09-03,43
2017-09-10,36
2017-09-17,46
2017-09-24,38
2017-10-01,45
2017-10-08,39
2017-10-15,47
2017-10-22,54
2017-10-29,42
2017-11-05,54
2017-11-12,62
2017-11-19,45
2017-11-26,79
2017-12-03,100
2017-12-10,77
2017-12-17,53
2017-12-24,63
2017-12-31,71
