Category: All categories

Week,Nightclub: (Portugal)
2006-01-01,55
2006-01-08,16
2006-01-15,54
2006-01-22,34
2006-01-29,41
2006-02-05,43
2006-02-12,32
2006-02-19,62
2006-02-26,63
2006-03-05,53
2006-03-12,53
2006-03-19,61
2006-03-26,52
2006-04-02,52
2006-04-09,64
2006-04-16,44
2006-04-23,39
2006-04-30,53
2006-05-07,53
2006-05-14,41
2006-05-21,50
2006-05-28,39
2006-06-04,34
2006-06-11,66
2006-06-18,33
2006-06-25,22
2006-07-02,38
2006-07-09,35
2006-07-16,45
2006-07-23,32
2006-07-30,70
2006-08-06,77
2006-08-13,90
2006-08-20,56
2006-08-27,87
2006-09-03,58
2006-09-10,33
2006-09-17,34
2006-09-24,45
2006-10-01,23
2006-10-08,37
2006-10-15,39
2006-10-22,48
2006-10-29,47
2006-11-05,30
2006-11-12,20
2006-11-19,49
2006-11-26,58
2006-12-03,62
2006-12-10,46
2006-12-17,54
2006-12-24,100
2006-12-31,62
