Category: All categories

Week,Nightclub: (Portugal)
2009-01-04,46
2009-01-11,58
2009-01-18,65
2009-01-25,62
2009-02-01,72
2009-02-08,96
2009-02-15,81
2009-02-22,90
2009-03-01,64
2009-03-08,59
2009-03-15,54
2009-03-22,71
2009-03-29,56
2009-04-05,63
2009-04-12,64
2009-04-19,58
2009-04-26,69
2009-05-03,67
2009-05-10,51
2009-05-17,49
2009-05-24,62
2009-05-31,66
2009-06-07,56
2009-06-14,50
2009-06-21,62
2009-06-28,53
2009-07-05,67
2009-07-12,41
2009-07-19,63
2009-07-26,78
2009-08-02,75
2009-08-09,87
2009-08-16,61
2009-08-23,80
2009-08-30,59
2009-09-06,57
2009-09-13,56
2009-09-20,67
2009-09-27,79
2009-10-04,54
2009-10-11,57
2009-10-18,62
2009-10-25,66
2009-11-01,71
2009-11-08,57
2009-11-15,63
2009-11-22,61
2009-11-29,73
2009-12-06,53
2009-12-13,63
2009-12-20,65
2009-12-27,100
2010-01-03,59
2010-01-10,52
2010-01-17,49
2010-01-24,64
2010-01-31,63
2010-02-07,65
2010-02-14,63
2010-02-21,48
2010-02-28,61
2010-03-07,52
2010-03-14,45
2010-03-21,51
2010-03-28,80
2010-04-04,58
2010-04-11,57
2010-04-18,58
2010-04-25,56
2010-05-02,40
2010-05-09,47
2010-05-16,54
2010-05-23,50
2010-05-30,67
2010-06-06,18
2010-06-13,68
2010-06-20,49
2010-06-27,73
2010-07-04,59
2010-07-11,60
2010-07-18,64
2010-07-25,65
2010-08-01,60
2010-08-08,57
2010-08-15,85
2010-08-22,78
2010-08-29,59
2010-09-05,45
2010-09-12,54
2010-09-19,41
2010-09-26,47
2010-10-03,40
2010-10-10,44
2010-10-17,47
2010-10-24,50
2010-10-31,64
2010-11-07,52
2010-11-14,39
2010-11-21,36
2010-11-28,26
2010-12-05,40
2010-12-12,48
2010-12-19,66
2010-12-26,90
