Category: All categories

Week,Novel: (Portugal)
2008-01-06,20
2008-01-13,0
2008-01-20,41
2008-01-27,37
2008-02-03,16
2008-02-10,47
2008-02-17,46
2008-02-24,39
2008-03-02,16
2008-03-09,100
2008-03-16,44
2008-03-23,13
2008-03-30,31
2008-04-06,45
2008-04-13,0
2008-04-20,25
2008-04-27,68
2008-05-04,20
2008-05-11,35
2008-05-18,43
2008-05-25,22
2008-06-01,0
2008-06-08,20
2008-06-15,53
2008-06-22,60
2008-06-29,54
2008-07-06,17
2008-07-13,0
2008-07-20,32
2008-07-27,27
2008-08-03,52
2008-08-10,31
2008-08-17,35
2008-08-24,54
2008-08-31,16
2008-09-07,0
2008-09-14,28
2008-09-21,25
2008-09-28,26
2008-10-05,30
2008-10-12,51
2008-10-19,44
2008-10-26,39
2008-11-02,26
2008-11-09,24
2008-11-16,0
2008-11-23,26
2008-11-30,24
2008-12-07,0
2008-12-14,0
2008-12-21,0
2008-12-28,36
