Category: All categories

Week,Novel: (Portugal)
2014-01-05,51
2014-01-12,62
2014-01-19,57
2014-01-26,50
2014-02-02,46
2014-02-09,41
2014-02-16,66
2014-02-23,42
2014-03-02,54
2014-03-09,46
2014-03-16,38
2014-03-23,41
2014-03-30,43
2014-04-06,56
2014-04-13,36
2014-04-20,54
2014-04-27,60
2014-05-04,77
2014-05-11,60
2014-05-18,35
2014-05-25,67
2014-06-01,65
2014-06-08,80
2014-06-15,54
2014-06-22,75
2014-06-29,47
2014-07-06,83
2014-07-13,61
2014-07-20,93
2014-07-27,63
2014-08-03,62
2014-08-10,51
2014-08-17,52
2014-08-24,52
2014-08-31,53
2014-09-07,61
2014-09-14,56
2014-09-21,68
2014-09-28,45
2014-10-05,54
2014-10-12,51
2014-10-19,63
2014-10-26,52
2014-11-02,63
2014-11-09,42
2014-11-16,79
2014-11-23,36
2014-11-30,29
2014-12-07,42
2014-12-14,40
2014-12-21,47
2014-12-28,36
2015-01-04,50
2015-01-11,42
2015-01-18,75
2015-01-25,52
2015-02-01,41
2015-02-08,49
2015-02-15,58
2015-02-22,55
2015-03-01,52
2015-03-08,50
2015-03-15,58
2015-03-22,82
2015-03-29,74
2015-04-05,46
2015-04-12,60
2015-04-19,64
2015-04-26,54
2015-05-03,19
2015-05-10,58
2015-05-17,48
2015-05-24,83
2015-05-31,67
2015-06-07,52
2015-06-14,77
2015-06-21,74
2015-06-28,62
2015-07-05,59
2015-07-12,79
2015-07-19,87
2015-07-26,100
2015-08-02,68
2015-08-09,87
2015-08-16,77
2015-08-23,75
2015-08-30,97
2015-09-06,84
2015-09-13,88
2015-09-20,62
2015-09-27,63
2015-10-04,62
2015-10-11,64
2015-10-18,74
2015-10-25,78
2015-11-01,61
2015-11-08,79
2015-11-15,57
2015-11-22,59
2015-11-29,51
2015-12-06,95
2015-12-13,69
2015-12-20,76
2015-12-27,74
