Category: All categories

Week,Offal: (Portugal)
2010-01-03,0
2010-01-10,0
2010-01-17,0
2010-01-24,0
2010-01-31,0
2010-02-07,0
2010-02-14,0
2010-02-21,23
2010-02-28,0
2010-03-07,0
2010-03-14,0
2010-03-21,0
2010-03-28,0
2010-04-04,0
2010-04-11,0
2010-04-18,0
2010-04-25,27
2010-05-02,0
2010-05-09,0
2010-05-16,16
2010-05-23,17
2010-05-30,100
2010-06-06,0
2010-06-13,0
2010-06-20,0
2010-06-27,0
2010-07-04,0
2010-07-11,0
2010-07-18,0
2010-07-25,22
2010-08-01,0
2010-08-08,0
2010-08-15,0
2010-08-22,0
2010-08-29,0
2010-09-05,0
2010-09-12,0
2010-09-19,0
2010-09-26,0
2010-10-03,18
2010-10-10,0
2010-10-17,0
2010-10-24,0
2010-10-31,0
2010-11-07,0
2010-11-14,0
2010-11-21,18
2010-11-28,23
2010-12-05,0
2010-12-12,19
2010-12-19,0
2010-12-26,0
