Category: All categories

Week,Offal: (Portugal)
2015-01-04,41
2015-01-11,0
2015-01-18,0
2015-01-25,0
2015-02-01,0
2015-02-08,0
2015-02-15,0
2015-02-22,31
2015-03-01,0
2015-03-08,34
2015-03-15,35
2015-03-22,0
2015-03-29,0
2015-04-05,0
2015-04-12,33
2015-04-19,0
2015-04-26,0
2015-05-03,0
2015-05-10,0
2015-05-17,0
2015-05-24,0
2015-05-31,0
2015-06-07,64
2015-06-14,0
2015-06-21,70
2015-06-28,42
2015-07-05,0
2015-07-12,0
2015-07-19,0
2015-07-26,41
2015-08-02,0
2015-08-09,0
2015-08-16,79
2015-08-23,0
2015-08-30,0
2015-09-06,42
2015-09-13,100
2015-09-20,66
2015-09-27,0
2015-10-04,0
2015-10-11,0
2015-10-18,59
2015-10-25,0
2015-11-01,0
2015-11-08,0
2015-11-15,0
2015-11-22,87
2015-11-29,0
2015-12-06,0
2015-12-13,0
2015-12-20,0
2015-12-27,0
2016-01-03,0
2016-01-10,0
2016-01-17,48
2016-01-24,0
2016-01-31,72
2016-02-07,93
2016-02-14,48
2016-02-21,0
2016-02-28,0
2016-03-06,0
2016-03-13,0
2016-03-20,0
2016-03-27,0
2016-04-03,0
2016-04-10,0
2016-04-17,0
2016-04-24,0
2016-05-01,44
2016-05-08,34
2016-05-15,47
2016-05-22,0
2016-05-29,0
2016-06-05,0
2016-06-12,53
2016-06-19,0
2016-06-26,0
2016-07-03,0
2016-07-10,39
2016-07-17,0
2016-07-24,0
2016-07-31,0
2016-08-07,0
2016-08-14,63
2016-08-21,0
2016-08-28,0
2016-09-04,0
2016-09-11,0
2016-09-18,42
2016-09-25,0
2016-10-02,0
2016-10-09,0
2016-10-16,0
2016-10-23,81
2016-10-30,0
2016-11-06,0
2016-11-13,0
2016-11-20,61
2016-11-27,0
2016-12-04,0
2016-12-11,0
2016-12-18,0
2016-12-25,0
