Category: All categories

Week,Petroleum: (Portugal)
2007-01-07,72
2007-01-14,67
2007-01-21,74
2007-01-28,98
2007-02-04,75
2007-02-11,75
2007-02-18,37
2007-02-25,81
2007-03-04,65
2007-03-11,49
2007-03-18,44
2007-03-25,25
2007-04-01,61
2007-04-08,43
2007-04-15,93
2007-04-22,37
2007-04-29,57
2007-05-06,74
2007-05-13,62
2007-05-20,85
2007-05-27,91
2007-06-03,58
2007-06-10,40
2007-06-17,61
2007-06-24,96
2007-07-01,24
2007-07-08,67
2007-07-15,43
2007-07-22,32
2007-07-29,57
2007-08-05,18
2007-08-12,0
2007-08-19,36
2007-08-26,45
2007-09-02,20
2007-09-09,14
2007-09-16,55
2007-09-23,56
2007-09-30,43
2007-10-07,22
2007-10-14,41
2007-10-21,73
2007-10-28,77
2007-11-04,81
2007-11-11,100
2007-11-18,46
2007-11-25,62
2007-12-02,75
2007-12-09,48
2007-12-16,34
2007-12-23,39
2007-12-30,94
