Category: All categories

Week,Petroleum: (Portugal)
2012-01-01,56
2012-01-08,76
2012-01-15,67
2012-01-22,44
2012-01-29,93
2012-02-05,81
2012-02-12,72
2012-02-19,72
2012-02-26,71
2012-03-04,86
2012-03-11,89
2012-03-18,90
2012-03-25,66
2012-04-01,60
2012-04-08,70
2012-04-15,71
2012-04-22,69
2012-04-29,70
2012-05-06,90
2012-05-13,82
2012-05-20,96
2012-05-27,100
2012-06-03,77
2012-06-10,59
2012-06-17,69
2012-06-24,48
2012-07-01,52
2012-07-08,84
2012-07-15,54
2012-07-22,58
2012-07-29,51
2012-08-05,47
2012-08-12,71
2012-08-19,67
2012-08-26,57
2012-09-02,94
2012-09-09,72
2012-09-16,73
2012-09-23,72
2012-09-30,66
2012-10-07,73
2012-10-14,70
2012-10-21,90
2012-10-28,73
2012-11-04,77
2012-11-11,90
2012-11-18,70
2012-11-25,76
2012-12-02,61
2012-12-09,61
2012-12-16,53
2012-12-23,37
2012-12-30,67
2013-01-06,49
2013-01-13,77
2013-01-20,50
2013-01-27,81
2013-02-03,55
2013-02-10,39
2013-02-17,70
2013-02-24,53
2013-03-03,72
2013-03-10,62
2013-03-17,40
2013-03-24,51
2013-03-31,63
2013-04-07,73
2013-04-14,73
2013-04-21,54
2013-04-28,66
2013-05-05,71
2013-05-12,75
2013-05-19,83
2013-05-26,85
2013-06-02,71
2013-06-09,49
2013-06-16,33
2013-06-23,36
2013-06-30,43
2013-07-07,50
2013-07-14,53
2013-07-21,44
2013-07-28,36
2013-08-04,42
2013-08-11,39
2013-08-18,33
2013-08-25,42
2013-09-01,50
2013-09-08,58
2013-09-15,37
2013-09-22,56
2013-09-29,44
2013-10-06,40
2013-10-13,56
2013-10-20,51
2013-10-27,65
2013-11-03,58
2013-11-10,60
2013-11-17,72
2013-11-24,53
2013-12-01,53
2013-12-08,44
2013-12-15,32
2013-12-22,25
2013-12-29,30
