Category: All categories

Week,Potato: (Portugal)
2014-01-05,63
2014-01-12,72
2014-01-19,64
2014-01-26,66
2014-02-02,78
2014-02-09,71
2014-02-16,65
2014-02-23,61
2014-03-02,77
2014-03-09,69
2014-03-16,57
2014-03-23,68
2014-03-30,66
2014-04-06,55
2014-04-13,73
2014-04-20,74
2014-04-27,71
2014-05-04,59
2014-05-11,58
2014-05-18,62
2014-05-25,58
2014-06-01,67
2014-06-08,55
2014-06-15,49
2014-06-22,55
2014-06-29,55
2014-07-06,62
2014-07-13,52
2014-07-20,58
2014-07-27,58
2014-08-03,61
2014-08-10,52
2014-08-17,54
2014-08-24,53
2014-08-31,59
2014-09-07,57
2014-09-14,57
2014-09-21,66
2014-09-28,70
2014-10-05,79
2014-10-12,85
2014-10-19,79
2014-10-26,89
2014-11-02,90
2014-11-09,82
2014-11-16,88
2014-11-23,82
2014-11-30,75
2014-12-07,72
2014-12-14,81
2014-12-21,100
2014-12-28,99
