Category: All categories

Week,Real Estate: (Portugal)
2007-01-07,82
2007-01-14,93
2007-01-21,79
2007-01-28,78
2007-02-04,88
2007-02-11,86
2007-02-18,87
2007-02-25,76
2007-03-04,68
2007-03-11,76
2007-03-18,76
2007-03-25,72
2007-04-01,75
2007-04-08,79
2007-04-15,83
2007-04-22,77
2007-04-29,91
2007-05-06,86
2007-05-13,79
2007-05-20,97
2007-05-27,75
2007-06-03,82
2007-06-10,90
2007-06-17,86
2007-06-24,85
2007-07-01,78
2007-07-08,70
2007-07-15,84
2007-07-22,83
2007-07-29,81
2007-08-05,88
2007-08-12,95
2007-08-19,100
2007-08-26,80
2007-09-02,91
2007-09-09,90
2007-09-16,81
2007-09-23,76
2007-09-30,81
2007-10-07,88
2007-10-14,89
2007-10-21,87
2007-10-28,72
2007-11-04,77
2007-11-11,65
2007-11-18,71
2007-11-25,67
2007-12-02,60
2007-12-09,56
2007-12-16,51
2007-12-23,65
2007-12-30,81
2008-01-06,79
2008-01-13,81
2008-01-20,85
2008-01-27,75
2008-02-03,78
2008-02-10,81
2008-02-17,83
2008-02-24,78
2008-03-02,74
2008-03-09,73
2008-03-16,75
2008-03-23,82
2008-03-30,66
2008-04-06,76
2008-04-13,70
2008-04-20,67
2008-04-27,64
2008-05-04,70
2008-05-11,61
2008-05-18,66
2008-05-25,62
2008-06-01,59
2008-06-08,62
2008-06-15,58
2008-06-22,59
2008-06-29,65
2008-07-06,61
2008-07-13,67
2008-07-20,65
2008-07-27,58
2008-08-03,65
2008-08-10,69
2008-08-17,79
2008-08-24,67
2008-08-31,66
2008-09-07,72
2008-09-14,65
2008-09-21,66
2008-09-28,65
2008-10-05,61
2008-10-12,65
2008-10-19,70
2008-10-26,60
2008-11-02,55
2008-11-09,62
2008-11-16,55
2008-11-23,53
2008-11-30,46
2008-12-07,49
2008-12-14,48
2008-12-21,47
2008-12-28,54
