Category: All categories

Week,Real Estate: (Portugal)
2017-01-01,100
2017-01-08,97
2017-01-15,97
2017-01-22,96
2017-01-29,97
2017-02-05,97
2017-02-12,95
2017-02-19,95
2017-02-26,90
2017-03-05,95
2017-03-12,98
2017-03-19,99
2017-03-26,95
2017-04-02,84
2017-04-09,76
2017-04-16,88
2017-04-23,84
2017-04-30,84
2017-05-07,90
2017-05-14,85
2017-05-21,89
2017-05-28,100
2017-06-04,97
2017-06-11,90
2017-06-18,82
2017-06-25,97
2017-07-02,85
2017-07-09,86
2017-07-16,85
2017-07-23,86
2017-07-30,82
2017-08-06,87
2017-08-13,83
2017-08-20,90
2017-08-27,97
2017-09-03,95
2017-09-10,91
2017-09-17,96
2017-09-24,98
2017-10-01,91
2017-10-08,97
2017-10-15,95
2017-10-22,100
2017-10-29,93
2017-11-05,91
2017-11-12,94
2017-11-19,77
2017-11-26,73
2017-12-03,75
2017-12-10,74
2017-12-17,67
2017-12-24,75
2017-12-31,94
