Category: All categories

Week,Renovation: (Portugal)
2015-01-04,87
2015-01-11,45
2015-01-18,79
2015-01-25,0
2015-02-01,15
2015-02-08,46
2015-02-15,43
2015-02-22,44
2015-03-01,0
2015-03-08,28
2015-03-15,30
2015-03-22,41
2015-03-29,26
2015-04-05,72
2015-04-12,37
2015-04-19,81
2015-04-26,30
2015-05-03,54
2015-05-10,53
2015-05-17,60
2015-05-24,51
2015-05-31,78
2015-06-07,34
2015-06-14,34
2015-06-21,100
2015-06-28,62
2015-07-05,80
2015-07-12,0
2015-07-19,36
2015-07-26,70
2015-08-02,0
2015-08-09,24
2015-08-16,62
2015-08-23,40
2015-08-30,38
2015-09-06,56
2015-09-13,53
2015-09-20,42
2015-09-27,56
2015-10-04,45
2015-10-11,70
2015-10-18,70
2015-10-25,36
2015-11-01,25
2015-11-08,46
2015-11-15,33
2015-11-22,69
2015-11-29,58
2015-12-06,16
2015-12-13,40
2015-12-20,33
2015-12-27,46
