Category: All categories

Week,Renovation: (Portugal)
2017-01-01,59
2017-01-08,55
2017-01-15,45
2017-01-22,50
2017-01-29,78
2017-02-05,40
2017-02-12,62
2017-02-19,49
2017-02-26,50
2017-03-05,30
2017-03-12,57
2017-03-19,94
2017-03-26,81
2017-04-02,50
2017-04-09,55
2017-04-16,63
2017-04-23,37
2017-04-30,43
2017-05-07,71
2017-05-14,86
2017-05-21,65
2017-05-28,65
2017-06-04,17
2017-06-11,35
2017-06-18,47
2017-06-25,49
2017-07-02,49
2017-07-09,35
2017-07-16,31
2017-07-23,68
2017-07-30,46
2017-08-06,41
2017-08-13,35
2017-08-20,82
2017-08-27,78
2017-09-03,43
2017-09-10,46
2017-09-17,68
2017-09-24,30
2017-10-01,76
2017-10-08,76
2017-10-15,44
2017-10-22,57
2017-10-29,34
2017-11-05,52
2017-11-12,26
2017-11-19,54
2017-11-26,42
2017-12-03,63
2017-12-10,17
2017-12-17,34
2017-12-24,52
2017-12-31,59
2018-01-07,35
2018-01-14,48
2018-01-21,82
2018-01-28,63
2018-02-04,43
2018-02-11,37
2018-02-18,62
2018-02-25,67
2018-03-04,51
2018-03-11,15
2018-03-18,75
2018-03-25,61
2018-04-01,48
2018-04-08,51
2018-04-15,42
2018-04-22,43
2018-04-29,49
2018-05-06,81
2018-05-13,48
2018-05-20,23
2018-05-27,63
2018-06-03,37
2018-06-10,52
2018-06-17,53
2018-06-24,49
2018-07-01,39
2018-07-08,64
2018-07-15,54
2018-07-22,41
2018-07-29,48
2018-08-05,36
2018-08-12,66
2018-08-19,69
2018-08-26,53
2018-09-02,71
2018-09-09,50
2018-09-16,73
2018-09-23,58
2018-09-30,29
2018-10-07,100
2018-10-14,88
2018-10-21,68
2018-10-28,37
2018-11-04,80
2018-11-11,73
2018-11-18,33
2018-11-25,75
2018-12-02,61
2018-12-09,63
2018-12-16,51
2018-12-23,67
2018-12-30,89
