Category: All categories

Week,Restaurant: (Portugal)
2007-01-07,47
2007-01-14,51
2007-01-21,49
2007-01-28,55
2007-02-04,61
2007-02-11,100
2007-02-18,54
2007-02-25,59
2007-03-04,46
2007-03-11,54
2007-03-18,50
2007-03-25,51
2007-04-01,52
2007-04-08,50
2007-04-15,53
2007-04-22,46
2007-04-29,54
2007-05-06,45
2007-05-13,49
2007-05-20,50
2007-05-27,52
2007-06-03,47
2007-06-10,45
2007-06-17,55
2007-06-24,49
2007-07-01,51
2007-07-08,46
2007-07-15,51
2007-07-22,48
2007-07-29,64
2007-08-05,65
2007-08-12,59
2007-08-19,60
2007-08-26,67
2007-09-02,55
2007-09-09,55
2007-09-16,49
2007-09-23,53
2007-09-30,51
2007-10-07,47
2007-10-14,49
2007-10-21,48
2007-10-28,55
2007-11-04,50
2007-11-11,54
2007-11-18,63
2007-11-25,63
2007-12-02,58
2007-12-09,70
2007-12-16,70
2007-12-23,70
2007-12-30,70
