Category: All categories

Week,Restaurant: (Portugal)
2013-01-06,45
2013-01-13,44
2013-01-20,46
2013-01-27,50
2013-02-03,57
2013-02-10,75
2013-02-17,46
2013-02-24,50
2013-03-03,58
2013-03-10,57
2013-03-17,57
2013-03-24,59
2013-03-31,51
2013-04-07,48
2013-04-14,52
2013-04-21,51
2013-04-28,59
2013-05-05,53
2013-05-12,56
2013-05-19,55
2013-05-26,54
2013-06-02,53
2013-06-09,54
2013-06-16,50
2013-06-23,56
2013-06-30,56
2013-07-07,54
2013-07-14,60
2013-07-21,65
2013-07-28,70
2013-08-04,75
2013-08-11,87
2013-08-18,76
2013-08-25,71
2013-09-01,65
2013-09-08,62
2013-09-15,56
2013-09-22,56
2013-09-29,51
2013-10-06,58
2013-10-13,57
2013-10-20,54
2013-10-27,58
2013-11-03,53
2013-11-10,56
2013-11-17,59
2013-11-24,65
2013-12-01,64
2013-12-08,68
2013-12-15,68
2013-12-22,70
2013-12-29,77
2014-01-05,54
2014-01-12,53
2014-01-19,55
2014-01-26,58
2014-02-02,64
2014-02-09,89
2014-02-16,62
2014-02-23,65
2014-03-02,72
2014-03-09,55
2014-03-16,58
2014-03-23,58
2014-03-30,55
2014-04-06,59
2014-04-13,69
2014-04-20,65
2014-04-27,74
2014-05-04,65
2014-05-11,60
2014-05-18,58
2014-05-25,61
2014-06-01,58
2014-06-08,59
2014-06-15,51
2014-06-22,60
2014-06-29,63
2014-07-06,65
2014-07-13,69
2014-07-20,70
2014-07-27,81
2014-08-03,78
2014-08-10,93
2014-08-17,87
2014-08-24,83
2014-08-31,75
2014-09-07,67
2014-09-14,66
2014-09-21,65
2014-09-28,64
2014-10-05,64
2014-10-12,65
2014-10-19,65
2014-10-26,66
2014-11-02,62
2014-11-09,64
2014-11-16,73
2014-11-23,69
2014-11-30,78
2014-12-07,80
2014-12-14,80
2014-12-21,79
2014-12-28,100
