Category: All categories

Week,Used car: (Portugal)
2006-01-01,71
2006-01-08,56
2006-01-15,70
2006-01-22,56
2006-01-29,70
2006-02-05,49
2006-02-12,78
2006-02-19,61
2006-02-26,58
2006-03-05,61
2006-03-12,49
2006-03-19,79
2006-03-26,67
2006-04-02,49
2006-04-09,60
2006-04-16,83
2006-04-23,52
2006-04-30,37
2006-05-07,47
2006-05-14,48
2006-05-21,57
2006-05-28,51
2006-06-04,45
2006-06-11,55
2006-06-18,58
2006-06-25,60
2006-07-02,84
2006-07-09,42
2006-07-16,95
2006-07-23,71
2006-07-30,88
2006-08-06,68
2006-08-13,89
2006-08-20,75
2006-08-27,91
2006-09-03,77
2006-09-10,61
2006-09-17,95
2006-09-24,61
2006-10-01,66
2006-10-08,76
2006-10-15,62
2006-10-22,80
2006-10-29,61
2006-11-05,71
2006-11-12,63
2006-11-19,67
2006-11-26,63
2006-12-03,43
2006-12-10,77
2006-12-17,47
2006-12-24,53
2006-12-31,45
2007-01-07,83
2007-01-14,87
2007-01-21,75
2007-01-28,58
2007-02-04,69
2007-02-11,62
2007-02-18,64
2007-02-25,55
2007-03-04,69
2007-03-11,59
2007-03-18,67
2007-03-25,64
2007-04-01,74
2007-04-08,100
2007-04-15,60
2007-04-22,72
2007-04-29,69
2007-05-06,76
2007-05-13,66
2007-05-20,67
2007-05-27,80
2007-06-03,63
2007-06-10,66
2007-06-17,75
2007-06-24,81
2007-07-01,68
2007-07-08,70
2007-07-15,54
2007-07-22,78
2007-07-29,71
2007-08-05,67
2007-08-12,87
2007-08-19,70
2007-08-26,76
2007-09-02,74
2007-09-09,67
2007-09-16,57
2007-09-23,86
2007-09-30,79
2007-10-07,87
2007-10-14,91
2007-10-21,82
2007-10-28,75
2007-11-04,72
2007-11-11,66
2007-11-18,62
2007-11-25,55
2007-12-02,64
2007-12-09,67
2007-12-16,62
2007-12-23,67
2007-12-30,90
