Category: All categories

Week,Used car: (Portugal)
2011-01-02,100
2011-01-09,88
2011-01-16,85
2011-01-23,82
2011-01-30,91
2011-02-06,85
2011-02-13,95
2011-02-20,86
2011-02-27,91
2011-03-06,80
2011-03-13,80
2011-03-20,81
2011-03-27,74
2011-04-03,73
2011-04-10,70
2011-04-17,84
2011-04-24,78
2011-05-01,78
2011-05-08,68
2011-05-15,69
2011-05-22,65
2011-05-29,60
2011-06-05,76
2011-06-12,70
2011-06-19,79
2011-06-26,70
2011-07-03,69
2011-07-10,68
2011-07-17,72
2011-07-24,70
2011-07-31,75
2011-08-07,68
2011-08-14,79
2011-08-21,92
2011-08-28,87
2011-09-04,75
2011-09-11,82
2011-09-18,84
2011-09-25,76
2011-10-02,83
2011-10-09,80
2011-10-16,72
2011-10-23,66
2011-10-30,79
2011-11-06,76
2011-11-13,70
2011-11-20,76
2011-11-27,64
2011-12-04,66
2011-12-11,64
2011-12-18,57
2011-12-25,67
