Category: All categories

Week,Shoes: (Portugal)
2009-01-04,58
2009-01-11,51
2009-01-18,59
2009-01-25,45
2009-02-01,51
2009-02-08,54
2009-02-15,51
2009-02-22,56
2009-03-01,54
2009-03-08,57
2009-03-15,58
2009-03-22,53
2009-03-29,61
2009-04-05,61
2009-04-12,58
2009-04-19,61
2009-04-26,57
2009-05-03,62
2009-05-10,56
2009-05-17,62
2009-05-24,68
2009-05-31,55
2009-06-07,54
2009-06-14,53
2009-06-21,49
2009-06-28,58
2009-07-05,48
2009-07-12,57
2009-07-19,56
2009-07-26,50
2009-08-02,46
2009-08-09,46
2009-08-16,53
2009-08-23,52
2009-08-30,61
2009-09-06,59
2009-09-13,68
2009-09-20,72
2009-09-27,69
2009-10-04,74
2009-10-11,65
2009-10-18,74
2009-10-25,64
2009-11-01,70
2009-11-08,70
2009-11-15,60
2009-11-22,67
2009-11-29,64
2009-12-06,64
2009-12-13,56
2009-12-20,64
2009-12-27,59
2010-01-03,59
2010-01-10,61
2010-01-17,55
2010-01-24,54
2010-01-31,55
2010-02-07,53
2010-02-14,55
2010-02-21,67
2010-02-28,60
2010-03-07,68
2010-03-14,62
2010-03-21,73
2010-03-28,66
2010-04-04,73
2010-04-11,75
2010-04-18,59
2010-04-25,66
2010-05-02,79
2010-05-09,74
2010-05-16,69
2010-05-23,75
2010-05-30,100
2010-06-06,72
2010-06-13,62
2010-06-20,66
2010-06-27,63
2010-07-04,59
2010-07-11,61
2010-07-18,62
2010-07-25,59
2010-08-01,66
2010-08-08,62
2010-08-15,64
2010-08-22,68
2010-08-29,68
2010-09-05,77
2010-09-12,67
2010-09-19,71
2010-09-26,77
2010-10-03,89
2010-10-10,80
2010-10-17,78
2010-10-24,71
2010-10-31,73
2010-11-07,81
2010-11-14,64
2010-11-21,64
2010-11-28,62
2010-12-05,69
2010-12-12,62
2010-12-19,56
2010-12-26,60
