Category: All categories

Week,Shoes: (Portugal)
2017-01-01,84
2017-01-08,77
2017-01-15,69
2017-01-22,85
2017-01-29,76
2017-02-05,75
2017-02-12,74
2017-02-19,80
2017-02-26,79
2017-03-05,80
2017-03-12,85
2017-03-19,84
2017-03-26,88
2017-04-02,94
2017-04-09,100
2017-04-16,86
2017-04-23,87
2017-04-30,90
2017-05-07,89
2017-05-14,86
2017-05-21,97
2017-05-28,96
2017-06-04,96
2017-06-11,84
2017-06-18,78
2017-06-25,80
2017-07-02,93
2017-07-09,84
2017-07-16,76
2017-07-23,78
2017-07-30,80
2017-08-06,79
2017-08-13,73
2017-08-20,78
2017-08-27,80
2017-09-03,77
2017-09-10,91
2017-09-17,100
2017-09-24,100
2017-10-01,85
2017-10-08,92
2017-10-15,95
2017-10-22,92
2017-10-29,95
2017-11-05,97
2017-11-12,91
2017-11-19,93
2017-11-26,87
2017-12-03,98
2017-12-10,93
2017-12-17,81
2017-12-24,93
2017-12-31,79
