Category: All categories

Week,T-shirt: (Portugal)
2011-01-02,46
2011-01-09,46
2011-01-16,46
2011-01-23,40
2011-01-30,69
2011-02-06,73
2011-02-13,49
2011-02-20,57
2011-02-27,61
2011-03-06,60
2011-03-13,62
2011-03-20,62
2011-03-27,76
2011-04-03,73
2011-04-10,68
2011-04-17,74
2011-04-24,80
2011-05-01,74
2011-05-08,74
2011-05-15,89
2011-05-22,77
2011-05-29,94
2011-06-05,99
2011-06-12,80
2011-06-19,100
2011-06-26,82
2011-07-03,82
2011-07-10,82
2011-07-17,91
2011-07-24,84
2011-07-31,58
2011-08-07,94
2011-08-14,91
2011-08-21,86
2011-08-28,87
2011-09-04,76
2011-09-11,87
2011-09-18,65
2011-09-25,68
2011-10-02,64
2011-10-09,76
2011-10-16,80
2011-10-23,70
2011-10-30,77
2011-11-06,83
2011-11-13,71
2011-11-20,69
2011-11-27,78
2011-12-04,72
2011-12-11,79
2011-12-18,80
2011-12-25,65
