Category: All categories

Week,T-shirt: (Portugal)
2016-01-03,48
2016-01-10,47
2016-01-17,51
2016-01-24,46
2016-01-31,49
2016-02-07,47
2016-02-14,50
2016-02-21,47
2016-02-28,45
2016-03-06,50
2016-03-13,61
2016-03-20,52
2016-03-27,51
2016-04-03,58
2016-04-10,54
2016-04-17,61
2016-04-24,67
2016-05-01,72
2016-05-08,60
2016-05-15,75
2016-05-22,65
2016-05-29,69
2016-06-05,71
2016-06-12,72
2016-06-19,62
2016-06-26,79
2016-07-03,80
2016-07-10,89
2016-07-17,69
2016-07-24,71
2016-07-31,69
2016-08-07,69
2016-08-14,66
2016-08-21,74
2016-08-28,63
2016-09-04,57
2016-09-11,51
2016-09-18,61
2016-09-25,55
2016-10-02,60
2016-10-09,53
2016-10-16,54
2016-10-23,63
2016-10-30,57
2016-11-06,50
2016-11-13,53
2016-11-20,56
2016-11-27,65
2016-12-04,70
2016-12-11,76
2016-12-18,65
2016-12-25,63
2017-01-01,58
2017-01-08,54
2017-01-15,67
2017-01-22,57
2017-01-29,55
2017-02-05,62
2017-02-12,62
2017-02-19,56
2017-02-26,61
2017-03-05,72
2017-03-12,70
2017-03-19,54
2017-03-26,66
2017-04-02,75
2017-04-09,68
2017-04-16,72
2017-04-23,84
2017-04-30,73
2017-05-07,88
2017-05-14,88
2017-05-21,76
2017-05-28,94
2017-06-04,77
2017-06-11,100
2017-06-18,75
2017-06-25,95
2017-07-02,84
2017-07-09,79
2017-07-16,80
2017-07-23,85
2017-07-30,92
2017-08-06,84
2017-08-13,90
2017-08-20,84
2017-08-27,83
2017-09-03,73
2017-09-10,70
2017-09-17,70
2017-09-24,72
2017-10-01,71
2017-10-08,74
2017-10-15,71
2017-10-22,72
2017-10-29,67
2017-11-05,78
2017-11-12,76
2017-11-19,74
2017-11-26,73
2017-12-03,99
2017-12-10,91
2017-12-17,89
2017-12-24,63
2017-12-31,59
