Category: All categories

Week,Television: (Portugal)
2011-01-02,51
2011-01-09,56
2011-01-16,66
2011-01-23,51
2011-01-30,63
2011-02-06,57
2011-02-13,66
2011-02-20,70
2011-02-27,57
2011-03-06,73
2011-03-13,67
2011-03-20,54
2011-03-27,44
2011-04-03,67
2011-04-10,58
2011-04-17,82
2011-04-24,60
2011-05-01,54
2011-05-08,48
2011-05-15,42
2011-05-22,39
2011-05-29,42
2011-06-05,36
2011-06-12,35
2011-06-19,38
2011-06-26,35
2011-07-03,44
2011-07-10,51
2011-07-17,52
2011-07-24,47
2011-07-31,56
2011-08-07,48
2011-08-14,71
2011-08-21,53
2011-08-28,52
2011-09-04,56
2011-09-11,67
2011-09-18,81
2011-09-25,58
2011-10-02,60
2011-10-09,53
2011-10-16,54
2011-10-23,55
2011-10-30,67
2011-11-06,65
2011-11-13,50
2011-11-20,72
2011-11-27,54
2011-12-04,65
2011-12-11,54
2011-12-18,49
2011-12-25,44
2012-01-01,61
2012-01-08,51
2012-01-15,70
2012-01-22,69
2012-01-29,57
2012-02-05,61
2012-02-12,65
2012-02-19,80
2012-02-26,72
2012-03-04,67
2012-03-11,68
2012-03-18,59
2012-03-25,78
2012-04-01,63
2012-04-08,72
2012-04-15,64
2012-04-22,62
2012-04-29,70
2012-05-06,47
2012-05-13,46
2012-05-20,42
2012-05-27,40
2012-06-03,52
2012-06-10,73
2012-06-17,45
2012-06-24,39
2012-07-01,38
2012-07-08,43
2012-07-15,51
2012-07-22,51
2012-07-29,48
2012-08-05,44
2012-08-12,52
2012-08-19,64
2012-08-26,72
2012-09-02,62
2012-09-09,55
2012-09-16,85
2012-09-23,79
2012-09-30,76
2012-10-07,90
2012-10-14,71
2012-10-21,100
2012-10-28,88
2012-11-04,89
2012-11-11,58
2012-11-18,51
2012-11-25,53
2012-12-02,70
2012-12-09,78
2012-12-16,60
2012-12-23,61
2012-12-30,73
