Category: All categories

Week,Television: (Portugal)
2018-01-07,57
2018-01-14,59
2018-01-21,54
2018-01-28,67
2018-02-04,61
2018-02-11,66
2018-02-18,56
2018-02-25,68
2018-03-04,64
2018-03-11,60
2018-03-18,53
2018-03-25,65
2018-04-01,56
2018-04-08,57
2018-04-15,100
2018-04-22,60
2018-04-29,59
2018-05-06,53
2018-05-13,54
2018-05-20,42
2018-05-27,48
2018-06-03,43
2018-06-10,60
2018-06-17,92
2018-06-24,66
2018-07-01,71
2018-07-08,54
2018-07-15,41
2018-07-22,50
2018-07-29,41
2018-08-05,71
2018-08-12,63
2018-08-19,79
2018-08-26,55
2018-09-02,50
2018-09-09,50
2018-09-16,93
2018-09-23,66
2018-09-30,58
2018-10-07,68
2018-10-14,51
2018-10-21,72
2018-10-28,64
2018-11-04,63
2018-11-11,53
2018-11-18,50
2018-11-25,66
2018-12-02,57
2018-12-09,54
2018-12-16,48
2018-12-23,71
2018-12-30,58
