Category: All categories

Week,Lumber: (Portugal)
2012-01-01,0
2012-01-08,16
2012-01-15,28
2012-01-22,21
2012-01-29,33
2012-02-05,0
2012-02-12,44
2012-02-19,0
2012-02-26,44
2012-03-04,0
2012-03-11,0
2012-03-18,0
2012-03-25,46
2012-04-01,19
2012-04-08,0
2012-04-15,43
2012-04-22,16
2012-04-29,0
2012-05-06,40
2012-05-13,14
2012-05-20,19
2012-05-27,81
2012-06-03,15
2012-06-10,22
2012-06-17,26
2012-06-24,100
2012-07-01,19
2012-07-08,34
2012-07-15,14
2012-07-22,21
2012-07-29,33
2012-08-05,0
2012-08-12,0
2012-08-19,45
2012-08-26,26
2012-09-02,0
2012-09-09,20
2012-09-16,0
2012-09-23,25
2012-09-30,59
2012-10-07,48
2012-10-14,0
2012-10-21,10
2012-10-28,24
2012-11-04,22
2012-11-11,0
2012-11-18,30
2012-11-25,0
2012-12-02,0
2012-12-09,38
2012-12-16,26
2012-12-23,19
2012-12-30,21
