Category: All categories

Week,Lumber: (Portugal)
2017-01-01,48
2017-01-08,76
2017-01-15,59
2017-01-22,45
2017-01-29,70
2017-02-05,84
2017-02-12,33
2017-02-19,28
2017-02-26,72
2017-03-05,85
2017-03-12,28
2017-03-19,63
2017-03-26,60
2017-04-02,59
2017-04-09,80
2017-04-16,52
2017-04-23,77
2017-04-30,30
2017-05-07,52
2017-05-14,37
2017-05-21,46
2017-05-28,35
2017-06-04,0
2017-06-11,28
2017-06-18,30
2017-06-25,50
2017-07-02,22
2017-07-09,43
2017-07-16,50
2017-07-23,40
2017-07-30,77
2017-08-06,32
2017-08-13,39
2017-08-20,23
2017-08-27,0
2017-09-03,81
2017-09-10,62
2017-09-17,21
2017-09-24,49
2017-10-01,30
2017-10-08,59
2017-10-15,60
2017-10-22,52
2017-10-29,12
2017-11-05,38
2017-11-12,48
2017-11-19,47
2017-11-26,76
2017-12-03,64
2017-12-10,61
2017-12-17,67
2017-12-24,44
2017-12-31,83
2018-01-07,94
2018-01-14,58
2018-01-21,51
2018-01-28,45
2018-02-04,54
2018-02-11,57
2018-02-18,59
2018-02-25,57
2018-03-04,58
2018-03-11,74
2018-03-18,66
2018-03-25,81
2018-04-01,100
2018-04-08,0
2018-04-15,62
2018-04-22,47
2018-04-29,40
2018-05-06,33
2018-05-13,22
2018-05-20,68
2018-05-27,52
2018-06-03,33
2018-06-10,58
2018-06-17,72
2018-06-24,33
2018-07-01,21
2018-07-08,0
2018-07-15,43
2018-07-22,40
2018-07-29,32
2018-08-05,23
2018-08-12,57
2018-08-19,42
2018-08-26,71
2018-09-02,52
2018-09-09,49
2018-09-16,32
2018-09-23,25
2018-09-30,36
2018-10-07,37
2018-10-14,60
2018-10-21,44
2018-10-28,89
2018-11-04,99
2018-11-11,47
2018-11-18,69
2018-11-25,63
2018-12-02,49
2018-12-09,76
2018-12-16,57
2018-12-23,49
2018-12-30,98
