Category: All categories

Week,Tobacco: (Portugal)
2013-01-06,41
2013-01-13,87
2013-01-20,54
2013-01-27,14
2013-02-03,62
2013-02-10,48
2013-02-17,90
2013-02-24,48
2013-03-03,52
2013-03-10,100
2013-03-17,0
2013-03-24,48
2013-03-31,32
2013-04-07,58
2013-04-14,46
2013-04-21,98
2013-04-28,56
2013-05-05,57
2013-05-12,66
2013-05-19,25
2013-05-26,61
2013-06-02,52
2013-06-09,41
2013-06-16,81
2013-06-23,55
2013-06-30,30
2013-07-07,55
2013-07-14,26
2013-07-21,48
2013-07-28,28
2013-08-04,0
2013-08-11,44
2013-08-18,56
2013-08-25,40
2013-09-01,36
2013-09-08,65
2013-09-15,71
2013-09-22,67
2013-09-29,65
2013-10-06,94
2013-10-13,17
2013-10-20,86
2013-10-27,81
2013-11-03,18
2013-11-10,69
2013-11-17,67
2013-11-24,90
2013-12-01,51
2013-12-08,47
2013-12-15,77
2013-12-22,15
2013-12-29,61
