Category: All categories

Week,Tobacco: (Portugal)
2017-01-01,42
2017-01-08,0
2017-01-15,32
2017-01-22,0
2017-01-29,12
2017-02-05,16
2017-02-12,0
2017-02-19,0
2017-02-26,0
2017-03-05,10
2017-03-12,0
2017-03-19,0
2017-03-26,0
2017-04-02,31
2017-04-09,18
2017-04-16,0
2017-04-23,0
2017-04-30,29
2017-05-07,12
2017-05-14,0
2017-05-21,0
2017-05-28,0
2017-06-04,0
2017-06-11,21
2017-06-18,14
2017-06-25,27
2017-07-02,16
2017-07-09,0
2017-07-16,0
2017-07-23,18
2017-07-30,24
2017-08-06,0
2017-08-13,44
2017-08-20,0
2017-08-27,15
2017-09-03,23
2017-09-10,13
2017-09-17,27
2017-09-24,0
2017-10-01,18
2017-10-08,0
2017-10-15,21
2017-10-22,22
2017-10-29,17
2017-11-05,25
2017-11-12,0
2017-11-19,18
2017-11-26,22
2017-12-03,0
2017-12-10,0
2017-12-17,28
2017-12-24,0
2017-12-31,41
2018-01-07,0
2018-01-14,21
2018-01-21,0
2018-01-28,0
2018-02-04,13
2018-02-11,21
2018-02-18,0
2018-02-25,32
2018-03-04,0
2018-03-11,15
2018-03-18,0
2018-03-25,23
2018-04-01,17
2018-04-08,21
2018-04-15,15
2018-04-22,37
2018-04-29,16
2018-05-06,12
2018-05-13,25
2018-05-20,15
2018-05-27,16
2018-06-03,10
2018-06-10,22
2018-06-17,14
2018-06-24,22
2018-07-01,30
2018-07-08,31
2018-07-15,0
2018-07-22,22
2018-07-29,29
2018-08-05,86
2018-08-12,100
2018-08-19,59
2018-08-26,33
2018-09-02,34
2018-09-09,32
2018-09-16,24
2018-09-23,35
2018-09-30,53
2018-10-07,26
2018-10-14,0
2018-10-21,0
2018-10-28,0
2018-11-04,30
2018-11-11,22
2018-11-18,17
2018-11-25,13
2018-12-02,17
2018-12-09,21
2018-12-16,0
2018-12-23,0
2018-12-30,0
