Category: All categories

Week,Travel agency: (Portugal)
2006-01-01,48
2006-01-08,46
2006-01-15,58
2006-01-22,51
2006-01-29,58
2006-02-05,62
2006-02-12,51
2006-02-19,56
2006-02-26,46
2006-03-05,58
2006-03-12,72
2006-03-19,54
2006-03-26,60
2006-04-02,65
2006-04-09,59
2006-04-16,56
2006-04-23,65
2006-04-30,66
2006-05-07,83
2006-05-14,50
2006-05-21,57
2006-05-28,60
2006-06-04,67
2006-06-11,59
2006-06-18,67
2006-06-25,68
2006-07-02,77
2006-07-09,86
2006-07-16,93
2006-07-23,83
2006-07-30,100
2006-08-06,85
2006-08-13,64
2006-08-20,59
2006-08-27,53
2006-09-03,47
2006-09-10,52
2006-09-17,35
2006-09-24,35
2006-10-01,40
2006-10-08,28
2006-10-15,33
2006-10-22,28
2006-10-29,34
2006-11-05,27
2006-11-12,35
2006-11-19,28
2006-11-26,29
2006-12-03,23
2006-12-10,18
2006-12-17,15
2006-12-24,31
2006-12-31,39
2007-01-07,54
2007-01-14,41
2007-01-21,33
2007-01-28,49
2007-02-04,35
2007-02-11,40
2007-02-18,49
2007-02-25,45
2007-03-04,42
2007-03-11,44
2007-03-18,53
2007-03-25,54
2007-04-01,49
2007-04-08,57
2007-04-15,41
2007-04-22,56
2007-04-29,33
2007-05-06,39
2007-05-13,41
2007-05-20,47
2007-05-27,41
2007-06-03,46
2007-06-10,50
2007-06-17,47
2007-06-24,50
2007-07-01,46
2007-07-08,53
2007-07-15,52
2007-07-22,61
2007-07-29,46
2007-08-05,56
2007-08-12,42
2007-08-19,46
2007-08-26,42
2007-09-02,42
2007-09-09,27
2007-09-16,30
2007-09-23,23
2007-09-30,23
2007-10-07,29
2007-10-14,30
2007-10-21,28
2007-10-28,29
2007-11-04,21
2007-11-11,30
2007-11-18,16
2007-11-25,17
2007-12-02,20
2007-12-09,23
2007-12-16,26
2007-12-23,18
2007-12-30,24
