Category: All categories

Week,Veterinarians: (Portugal)
2008-01-06,58
2008-01-13,86
2008-01-20,38
2008-01-27,73
2008-02-03,45
2008-02-10,55
2008-02-17,53
2008-02-24,34
2008-03-02,53
2008-03-09,29
2008-03-16,78
2008-03-23,73
2008-03-30,57
2008-04-06,44
2008-04-13,62
2008-04-20,73
2008-04-27,65
2008-05-04,65
2008-05-11,44
2008-05-18,57
2008-05-25,62
2008-06-01,69
2008-06-08,65
2008-06-15,85
2008-06-22,50
2008-06-29,79
2008-07-06,53
2008-07-13,59
2008-07-20,57
2008-07-27,48
2008-08-03,95
2008-08-10,76
2008-08-17,72
2008-08-24,82
2008-08-31,72
2008-09-07,63
2008-09-14,62
2008-09-21,43
2008-09-28,84
2008-10-05,34
2008-10-12,46
2008-10-19,100
2008-10-26,75
2008-11-02,50
2008-11-09,76
2008-11-16,47
2008-11-23,92
2008-11-30,46
2008-12-07,77
2008-12-14,62
2008-12-21,42
2008-12-28,56
