Category: All categories

Week,Veterinarians: (Portugal)
2010-01-03,72
2010-01-10,83
2010-01-17,100
2010-01-24,67
2010-01-31,38
2010-02-07,54
2010-02-14,58
2010-02-21,91
2010-02-28,71
2010-03-07,35
2010-03-14,72
2010-03-21,67
2010-03-28,75
2010-04-04,67
2010-04-11,52
2010-04-18,55
2010-04-25,73
2010-05-02,71
2010-05-09,51
2010-05-16,96
2010-05-23,41
2010-05-30,93
2010-06-06,70
2010-06-13,75
2010-06-20,34
2010-06-27,68
2010-07-04,61
2010-07-11,55
2010-07-18,36
2010-07-25,66
2010-08-01,76
2010-08-08,44
2010-08-15,92
2010-08-22,70
2010-08-29,22
2010-09-05,38
2010-09-12,59
2010-09-19,56
2010-09-26,53
2010-10-03,59
2010-10-10,58
2010-10-17,80
2010-10-24,53
2010-10-31,74
2010-11-07,69
2010-11-14,44
2010-11-21,56
2010-11-28,55
2010-12-05,44
2010-12-12,73
2010-12-19,52
2010-12-26,69
2011-01-02,46
2011-01-09,72
2011-01-16,69
2011-01-23,62
2011-01-30,66
2011-02-06,54
2011-02-13,65
2011-02-20,69
2011-02-27,32
2011-03-06,44
2011-03-13,59
2011-03-20,69
2011-03-27,58
2011-04-03,58
2011-04-10,61
2011-04-17,63
2011-04-24,42
2011-05-01,44
2011-05-08,57
2011-05-15,68
2011-05-22,100
2011-05-29,61
2011-06-05,88
2011-06-12,78
2011-06-19,50
2011-06-26,70
2011-07-03,75
2011-07-10,67
2011-07-17,68
2011-07-24,70
2011-07-31,54
2011-08-07,84
2011-08-14,69
2011-08-21,73
2011-08-28,67
2011-09-04,59
2011-09-11,83
2011-09-18,73
2011-09-25,71
2011-10-02,77
2011-10-09,72
2011-10-16,98
2011-10-23,78
2011-10-30,89
2011-11-06,75
2011-11-13,61
2011-11-20,56
2011-11-27,81
2011-12-04,71
2011-12-11,52
2011-12-18,56
2011-12-25,63
