Category: All categories

Week,Video game: (Portugal)
2009-01-04,47
2009-01-11,48
2009-01-18,53
2009-01-25,45
2009-02-01,54
2009-02-08,51
2009-02-15,49
2009-02-22,59
2009-03-01,47
2009-03-08,45
2009-03-15,47
2009-03-22,49
2009-03-29,63
2009-04-05,66
2009-04-12,51
2009-04-19,48
2009-04-26,53
2009-05-03,49
2009-05-10,49
2009-05-17,57
2009-05-24,52
2009-05-31,55
2009-06-07,77
2009-06-14,65
2009-06-21,74
2009-06-28,71
2009-07-05,73
2009-07-12,72
2009-07-19,72
2009-07-26,76
2009-08-02,77
2009-08-09,74
2009-08-16,74
2009-08-23,77
2009-08-30,72
2009-09-06,71
2009-09-13,61
2009-09-20,56
2009-09-27,61
2009-10-04,66
2009-10-11,56
2009-10-18,58
2009-10-25,59
2009-11-01,62
2009-11-08,64
2009-11-15,62
2009-11-22,65
2009-11-29,73
2009-12-06,72
2009-12-13,68
2009-12-20,100
2009-12-27,92
2010-01-03,58
2010-01-10,64
2010-01-17,60
2010-01-24,54
2010-01-31,57
2010-02-07,58
2010-02-14,69
2010-02-21,52
2010-02-28,53
2010-03-07,50
2010-03-14,50
2010-03-21,58
2010-03-28,72
2010-04-04,65
2010-04-11,47
2010-04-18,48
2010-04-25,48
2010-05-02,51
2010-05-09,50
2010-05-16,47
2010-05-23,48
2010-05-30,54
2010-06-06,56
2010-06-13,54
2010-06-20,56
2010-06-27,56
2010-07-04,53
2010-07-11,54
2010-07-18,57
2010-07-25,53
2010-08-01,58
2010-08-08,56
2010-08-15,60
2010-08-22,57
2010-08-29,59
2010-09-05,47
2010-09-12,43
2010-09-19,42
2010-09-26,45
2010-10-03,49
2010-10-10,44
2010-10-17,40
2010-10-24,44
2010-10-31,44
2010-11-07,41
2010-11-14,40
2010-11-21,43
2010-11-28,48
2010-12-05,51
2010-12-12,48
2010-12-19,69
2010-12-26,65
