Category: All categories

Week,Video game: (Portugal)
2015-01-04,70
2015-01-11,75
2015-01-18,65
2015-01-25,73
2015-02-01,65
2015-02-08,70
2015-02-15,79
2015-02-22,59
2015-03-01,62
2015-03-08,57
2015-03-15,62
2015-03-22,80
2015-03-29,81
2015-04-05,65
2015-04-12,58
2015-04-19,60
2015-04-26,68
2015-05-03,56
2015-05-10,56
2015-05-17,59
2015-05-24,57
2015-05-31,57
2015-06-07,65
2015-06-14,77
2015-06-21,73
2015-06-28,74
2015-07-05,74
2015-07-12,72
2015-07-19,72
2015-07-26,71
2015-08-02,74
2015-08-09,72
2015-08-16,71
2015-08-23,79
2015-08-30,77
2015-09-06,75
2015-09-13,69
2015-09-20,57
2015-09-27,59
2015-10-04,57
2015-10-11,57
2015-10-18,55
2015-10-25,57
2015-11-01,60
2015-11-08,61
2015-11-15,59
2015-11-22,61
2015-11-29,61
2015-12-06,68
2015-12-13,73
2015-12-20,100
2015-12-27,84
