Category: All categories

Week,Vitamin: (Portugal)
2015-01-04,72
2015-01-11,52
2015-01-18,72
2015-01-25,79
2015-02-01,71
2015-02-08,68
2015-02-15,62
2015-02-22,79
2015-03-01,74
2015-03-08,77
2015-03-15,84
2015-03-22,83
2015-03-29,77
2015-04-05,77
2015-04-12,76
2015-04-19,78
2015-04-26,60
2015-05-03,77
2015-05-10,71
2015-05-17,80
2015-05-24,70
2015-05-31,53
2015-06-07,64
2015-06-14,73
2015-06-21,67
2015-06-28,76
2015-07-05,57
2015-07-12,57
2015-07-19,73
2015-07-26,57
2015-08-02,67
2015-08-09,64
2015-08-16,65
2015-08-23,67
2015-08-30,63
2015-09-06,70
2015-09-13,65
2015-09-20,83
2015-09-27,72
2015-10-04,79
2015-10-11,81
2015-10-18,83
2015-10-25,76
2015-11-01,86
2015-11-08,78
2015-11-15,63
2015-11-22,71
2015-11-29,75
2015-12-06,70
2015-12-13,76
2015-12-20,44
2015-12-27,60
2016-01-03,77
2016-01-10,88
2016-01-17,81
2016-01-24,77
2016-01-31,66
2016-02-07,78
2016-02-14,81
2016-02-21,83
2016-02-28,69
2016-03-06,81
2016-03-13,83
2016-03-20,78
2016-03-27,100
2016-04-03,93
2016-04-10,99
2016-04-17,84
2016-04-24,85
2016-05-01,77
2016-05-08,83
2016-05-15,76
2016-05-22,82
2016-05-29,87
2016-06-05,82
2016-06-12,76
2016-06-19,73
2016-06-26,62
2016-07-03,70
2016-07-10,69
2016-07-17,89
2016-07-24,67
2016-07-31,55
2016-08-07,66
2016-08-14,80
2016-08-21,69
2016-08-28,69
2016-09-04,65
2016-09-11,68
2016-09-18,73
2016-09-25,84
2016-10-02,99
2016-10-09,91
2016-10-16,95
2016-10-23,90
2016-10-30,78
2016-11-06,90
2016-11-13,95
2016-11-20,77
2016-11-27,73
2016-12-04,77
2016-12-11,73
2016-12-18,65
2016-12-25,81
