Category: All categories

Week,Vitamin: (Portugal)
2018-01-07,89
2018-01-14,81
2018-01-21,92
2018-01-28,87
2018-02-04,79
2018-02-11,73
2018-02-18,92
2018-02-25,83
2018-03-04,81
2018-03-11,83
2018-03-18,98
2018-03-25,78
2018-04-01,71
2018-04-08,79
2018-04-15,76
2018-04-22,77
2018-04-29,67
2018-05-06,74
2018-05-13,84
2018-05-20,80
2018-05-27,73
2018-06-03,74
2018-06-10,74
2018-06-17,67
2018-06-24,80
2018-07-01,91
2018-07-08,72
2018-07-15,84
2018-07-22,71
2018-07-29,72
2018-08-05,63
2018-08-12,67
2018-08-19,75
2018-08-26,71
2018-09-02,84
2018-09-09,73
2018-09-16,71
2018-09-23,80
2018-09-30,90
2018-10-07,90
2018-10-14,100
2018-10-21,87
2018-10-28,80
2018-11-04,80
2018-11-11,79
2018-11-18,89
2018-11-25,85
2018-12-02,87
2018-12-09,84
2018-12-16,77
2018-12-23,68
2018-12-30,74
