Category: All categories

Week,Wi-Fi: (Portugal)
2009-01-04,43
2009-01-11,62
2009-01-18,86
2009-01-25,79
2009-02-01,75
2009-02-08,81
2009-02-15,54
2009-02-22,65
2009-03-01,71
2009-03-08,66
2009-03-15,48
2009-03-22,70
2009-03-29,56
2009-04-05,98
2009-04-12,89
2009-04-19,52
2009-04-26,84
2009-05-03,59
2009-05-10,79
2009-05-17,79
2009-05-24,56
2009-05-31,70
2009-06-07,53
2009-06-14,54
2009-06-21,64
2009-06-28,73
2009-07-05,66
2009-07-12,76
2009-07-19,71
2009-07-26,49
2009-08-02,76
2009-08-09,77
2009-08-16,61
2009-08-23,41
2009-08-30,61
2009-09-06,67
2009-09-13,75
2009-09-20,84
2009-09-27,57
2009-10-04,74
2009-10-11,58
2009-10-18,74
2009-10-25,81
2009-11-01,90
2009-11-08,69
2009-11-15,66
2009-11-22,81
2009-11-29,77
2009-12-06,76
2009-12-13,76
2009-12-20,97
2009-12-27,100
