Category: All categories

Week,Wi-Fi: (Portugal)
2017-01-01,73
2017-01-08,74
2017-01-15,72
2017-01-22,70
2017-01-29,71
2017-02-05,73
2017-02-12,70
2017-02-19,73
2017-02-26,78
2017-03-05,70
2017-03-12,71
2017-03-19,65
2017-03-26,68
2017-04-02,78
2017-04-09,69
2017-04-16,70
2017-04-23,67
2017-04-30,84
2017-05-07,76
2017-05-14,70
2017-05-21,64
2017-05-28,63
2017-06-04,66
2017-06-11,75
2017-06-18,73
2017-06-25,67
2017-07-02,81
2017-07-09,72
2017-07-16,89
2017-07-23,100
2017-07-30,83
2017-08-06,77
2017-08-13,84
2017-08-20,89
2017-08-27,80
2017-09-03,74
2017-09-10,75
2017-09-17,90
2017-09-24,79
2017-10-01,75
2017-10-08,78
2017-10-15,76
2017-10-22,75
2017-10-29,74
2017-11-05,80
2017-11-12,72
2017-11-19,76
2017-11-26,72
2017-12-03,67
2017-12-10,72
2017-12-17,76
2017-12-24,88
2017-12-31,72
2018-01-07,74
2018-01-14,74
2018-01-21,73
2018-01-28,72
2018-02-04,75
2018-02-11,68
2018-02-18,62
2018-02-25,67
2018-03-04,67
2018-03-11,72
2018-03-18,69
2018-03-25,73
2018-04-01,73
2018-04-08,67
2018-04-15,65
2018-04-22,71
2018-04-29,74
2018-05-06,58
2018-05-13,58
2018-05-20,57
2018-05-27,69
2018-06-03,71
2018-06-10,62
2018-06-17,69
2018-06-24,75
2018-07-01,72
2018-07-08,71
2018-07-15,77
2018-07-22,68
2018-07-29,78
2018-08-05,84
2018-08-12,81
2018-08-19,75
2018-08-26,79
2018-09-02,74
2018-09-09,82
2018-09-16,81
2018-09-23,78
2018-09-30,71
2018-10-07,63
2018-10-14,67
2018-10-21,73
2018-10-28,67
2018-11-04,75
2018-11-11,74
2018-11-18,83
2018-11-25,80
2018-12-02,67
2018-12-09,64
2018-12-16,75
2018-12-23,85
2018-12-30,79
